Unnamed: 0,2017 20181,2019,2020,2021,Change in %,Unnamed: 1
GROUP,,,,,,
Profit / loss before tax in € million,"10,675 9,627","7,118","5,222","16,060",,–
Workforce at year­end  2,"129,932 134,682","126,016","120,726","118,909",– 1.5,
Share of women in management positions in the BMW Group  3,16.0 17.2,17.2,17.8,18.8,5.6,
A U T O M O T I V E  S E G M E N T,,,,,,
EBIT margin in %,9.2 7.2,4.9,2.7,10.3,,–
RoCE in %,77.7 49.8,29.0,12.7,59.9,,–
"Deliveries  4, 5","2,465,021 2,486,149","2,537,504","2,325,179","2,521,514",8.4,
Share of electrified vehicles in deliveries (in %),4.2 5.7,5.8,8.3,13.0,56.6,
"CO2 emissions EU new vehicle fleet (in g / km)  6, 7",128.0 127.5,127.0,99.1 (135.0)8,115.99,– 14.1,
"CO  emissions per vehicle produced (in tons)  10, 11, 122",0.41 0.40,0.40,0.35,0.33,– 5.7,
M O T O R C Y C L E S  S E G M E N T,,,,,,
EBIT margin in %,9.1 8.1,8.2,4.5,8.3,84.4,
RoCE in %,34.0 28.4,29.4,15.0,35.9,,–
Deliveries,"164,153 165,566","175,162","169,272","194,261",14.8,
F I N A N C I A L  S E R V I C E S  S E G M E N T,,,,,,
RoE in %,18.1 14.8,15.0,11.2,22.6,,–
"1  The 2018 figures were adjusted due to the change in accounting policy in conjunction with the adoption of IFRS 16 (↗ Annual Report 2019, Note 6 to the Group Financial Statements).",,,,,,
"2 The term “employee” has been redefined with effect from the reporting year 2020 (for definition, see ↗ Glossary and explanation of key figures). The figure for 2019 was restated accordingly for comparison purposes (2019 before adjustment: 133,778 employees). For the period 2018 and earlier, the percentage of employees no",,,,,,
