in € million 2017,Unnamed: 0,2018,2019,2020,2021,Change in %
"Total capital expenditure  1 7,112",,"8,013","7,784","6,222","7,518",20.8
"Depreciation and amortisation 4,822",,"5,113","6,017","6,143","6,495",5.7
"Free cash flow Automotive segment 4,459",,"2,713","2,567","3,395","6,354",87.2
"Group revenues 2 98,282",,"96,855","104,210","98,990","111,239",12.4
"Automotive 85,742",,"85,846","91,682","80,853","95,476",18.1
"Motorcycles 2,272",,"2,173","2,368","2,284","2,748",20.3
"Financial Services  2 27,567",,"27,705","29,598","30,044","32,867",9.4
Other Entities 7,,6,5,3,5,66.7
"Eliminations  2 – 17,306",,"– 18,875","– 19,443","– 14,194","– 19,857",39.9
"Group profit / loss before financial result (EBIT) 2 9,899",,"8,933","7,411","4,830","13,400",–
"Automotive 7,888",,"6,182","4,499","2,162","9,870",–
Motorcycles 207,,175,194,103,227,–
"Financial Services  2 2,194",,"2,172","2,312","1,721","3,701",–
Other Entities 14,,– 27,29,36,–8,–
Eliminations  2 – 404,,431,377,808,– 390,–
"Group profit / loss before tax (EBT) 2 10,675",,"9,627","7,118","5,222","16,060",–
"Automotive 8,717",,"6,977","4,467","2,722","11,805",–
Motorcycles 205,,169,187,100,228,–
"Financial Services  2 2,207",,"2,143","2,272","1,725","3,753",–
Other Entities 80,,– 45,– 96,– 235,531,–
Eliminations  2 – 534,,383,288,910,– 257,–
"Group income taxes 2 – 2,000",,"– 2,530","– 2,140","– 1,365","– 3,597",–
"Profit / loss from continuing operations 2 8,675",,"7,097","4,978","3,857","12,463",–
Profit / loss from discontinued operations –,,– 33,44,–,–,–
"Group net profit / loss 2 8,675",,"7,064","5,022","3,857","12,463",–
Earnings in € per share of common stock / preferred stock 2 13.07 / 13.09,10.60 / 10.62,,7.47 / 7.49,5.73 / 5.75,18.77/18.79,–
"Pre-tax return on sales  2, 3 in % 10.9",,9.9,6.8,5.3,14.4,–
"1  Expenditure for capitalised development costs, other intangible assets and property, plant and equipment.",,,,,,
"2 The figures for 2018 were adjusted due to the change in accounting policy in conjunction with the adoption of IFRS 16 (↗ Annual Report 2019, Note 6 to the Group Financial Statements).",,,,,,
