Member of the Supervisory Board,Meetings,Attendance,Attendance in %,(Wirtschaftsprüfer) as independent auditor responsible for the performance of the
Dr.­Ing. Norbert Reithofer,23.0,23.0,100.0,engagement.
Manfred Schoch,21.0,21.0,100.0,
Stefan Quandt,23.0,23.0,100.0,"At its meeting held on 24 February 2022, the Audit Committee initially considered in"
,,,,"detail the preliminary version of the Company and Group Financial Statements, the"
Stefan Schmid,21.0,21.0,100.0,
,,,,Combined Management Report (including the Combined Non-financial (Group) State
Dr. Karl­Ludwig Kley1,4.0,4.0,100.0,"ment), the Statement of Corporate Governance, the draft versions of the auditor’s"
Dr. Kurt Bock,20.0,20.0,100.0,reports and the Board of Management’s proposal for the appropriation of profit.
Christiane Benner,5.0,5.0,100.0,
Dr. Marc Bitzer2,4.0,4.0,100.0,"Immediately after authorising their issue, the Board of Management submitted the"
,,,,Company and Group Financial Statements for the financial year 2021 and the Com-
Verena zu Dohna8,5.0,5.0,100.0,
,,,,bined Management Report (including the Combined Non-financial (Group) State-
Bernhard Ebner7,1.0,1.0,100.0,"ment), the Statement of Corporate Governance and the proposal for the appropri-"
Rachel Empey2,4.0,4.0,100.0,ation of profit to the Supervisory Board. The auditor’s long-form audit reports were
Dr.­Ing. Heinrich Hiesinger,5.0,5.0,100.0,also made available to the Supervisory Board in a prompt manner.
Johann Horn3,3.0,3.0,100.0,
,,,,"At its meeting on 9 March 2022, the Audit Committee diligently examined and de-"
Prof. Dr. Reinhard Hüttl1,1.0,1.0,100.0,
,,,,liberated on these documents before they were considered in detail at the plenary
Susanne Klatten,7.0,7.0,100.0,session of the Supervisory Board on 10 March 2022.
Jens Köhler5,2.0,2.0,100.0,
Horst Lischka1,1.0,1.0,100.0,"At the two respective meetings, the Board of Management provided the Audit Com-"
Willibald Löw4,3.0,3.0,100.0,mittee and the Supervisory Board with detailed explanations of the financial reports
,,,,presented. The representatives of the external auditor present at the meetings
Simone Menne1,1.0,1.0,100.0,
,,,,reported on the main findings of their audit and answered additional questions put
Dr. Dominique Mohabeer,5.0,5.0,100.0,by members of the Audit Committee and the Supervisory Board. The focus of these
Brigitte Rödig6,4.0,3.0,75.0,"meetings was on key audit matters as well as the related audit procedures, which"
Anke Schäferkordt,5.0,5.0,100.0,were discussed at length by the Audit Committee and the Supervisory Board.
Prof. Dr. Christoph Schmidt2,4.0,4.0,100.0,
,,,,The representatives of the external auditor confirmed that the risk management
Dr. Vishal Sikka,5.0,5.0,100.0,
,,,,system established by the Board of Management is capable of identifying at an early
Dr. Thomas Wittig,5.0,5.0,100.0,stage any developments that might threaten the Company’s going-concern status.
Werner Zierer,5.0,5.0,100.0,They also confirmed that that no material weaknesses in the internal control system
