United States,2.0,1.9,1.9.1,14.9,15.4,14.2,13.7,12.4,%,13.1,%.1
Canada,0.2,0.2,0.2,1.6,1.7,1.6,15.1,14.3,,15.2,
Mexico,—,—,—,1.0,1.0,1.1,4.0,4.0,,3.8,
North America,2.3,2.2,2.2,17.6,18.4,17.3,13.2,12.0,,12.5,
Brazil,0.1,—,—,2.1,2.1,2.1,6.8,1.7,,1.7,
Argentina,—,—,—,0.3,0.4,0.4,9.7,7.9,,7.0,
South America,0.2,0.1,0.1,3.1,3.6,3.7,6.2,2.6,,2.1,
United Kingdom,0.2,0.2,0.2,1.9,2.0,1.9,12.9,11.8,,12.1,
Germany,0.2,0.2,0.2,3.3,3.0,3.0,7.4,5.7,,5.7,
EU20 (d),1.0,0.9,0.8,13.7,13.7,13.0,7.1,6.4,,6.4,
Türkiye,0.1,0.1,0.1,0.8,0.8,0.8,12.4,9.7,,10.5,
Europe,1.1,1.0,0.9,15.1,15.1,14.4,7.2,6.4,,6.5,
China (e),0.6,0.6,0.5,25.2,26.3,23.9,2.4,2.4,,2.1,
Australia,0.1,0.1,0.1,0.9,1.1,1.1,6.5,6.8,,6.2,
India,0.1,—,—,2.8,3.5,4.1,1.7,1.0,,—,
ASEAN (f),0.1,0.1,0.1,1.3,1.4,1.7,5.3,5.3,,5.7,
Russia,—,—,—,1.5,1.7,1.7,0.9,1.2,,—,
International Markets Group,0.3,0.3,0.3,17.5,18.7,20.3,1.7,1.8,,1.4,
Global / Total Company,4.5,4.2,4.0,78.5,82.1,79.6,5.8,5.1,%,5.0,%
