Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 11
Net income/(loss) attributable to Ford,$,(1.3),,$,17.9,,$,(2.0)
Add: Noncontrolling interest,—,,—,,,(0.2),,
Less: Income tax,(0.2),,0.1,,,0.9,,
Add: Cash tax,(0.4),,(0.6,,,(0.8),,
Less: Interest on debt,(1.6),,(1.8,,,(1.3),,
Less: Total pension / OPEB income / (cost),(1.0),,4.9,,,0.4,,
Add: Pension / OPEB service costs,(1.1),,(1.1,,,(1.0),,
Net operating profit/(loss) after cash tax,$,0.1,,$,13.0,,$,(3.9)
Less: Special items (excl. pension / OPEB) pre-tax,(0.4),,5.9,,,(11.7),,
Adjusted net operating profit/(loss) after cash tax,$,0.5,,$,7.1,,$,7.8
