Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12,"Accumulated",Unnamed: 15,Unnamed: 16,"(Accumulated",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Redeemable,,,,,,,,"Additional",Other,,,Deficit),,,Total,,"Noncontrolling",,,,,,,,,,
,"Noncontrolling",,,Common Stock,,,Paid-In,,"Comprehensive",Retained,,,"Stockholders’",,,Interests in,,Total,,,,,,,,,,
,Interests,,,"Shares(1)",,,"Amount(1)",,Capital,"(Loss)Income",,,"Earnings(1)",,,Equity,,Subsidiaries,,Equity,,,,,,,,
"Balance as of December 31, 2019",$,643,,,,"2,716",,$,3,$,"12,736",,,$,(36,),$,"(6,085",),$,"6,618",,$,849,,$,"7,467",
Adjustments for prior periods from adopting ASU 2016-13,,—,,,,—,,,—,,—,,,,—,,,(37,),,(37,),,—,,,(37,)
"Reclassification between equity and mezzanine equity for convertible seniornotes",,—,,,,—,,,—,,(51,),,,—,,,—,,,(51,),,—,,,(51,)
Exercises of conversion feature of convertible senior notes,,—,,,,5,,,0,,59,,,,—,,,—,,,59,,,—,,,59,
Issuance of common stock for equity incentive awards,,—,,,,55,,,0,,417,,,,—,,,—,,,417,,,—,,,417,
"Issuance of common stock in public offerings, net of issuance costs of $68",,—,,,,103,,,0,,"12,269",,,,—,,,—,,,"12,269",,,—,,,"12,269",
Stock-based compensation,,—,,,,—,,,—,,"1,861",,,,—,,,—,,,"1,861",,,—,,,"1,861",
Contributions from noncontrolling interests,,7,,,,—,,,—,,—,,,,—,,,—,,,—,,,17,,,17,
Distributions to noncontrolling interests,,(67,),,,—,,,—,,—,,,,—,,,—,,,—,,,(132,),,(132,)
Buy-outs of noncontrolling interests,,(4,),,,—,,,—,,(31,),,,—,,,—,,,(31,),,—,,,(31,)
Net income,,25,,,,—,,,—,,—,,,,—,,,721,,,721,,,116,,,837,
Other comprehensive income,,—,,,,—,,,—,,—,,,,399,,,—,,,399,,,—,,,399,
"Balance as of December 31, 2020",$,604,,,,"2,879",,$,3,$,"27,260",,,$,363,,$,"(5,401",),$,"22,225",,$,850,,$,"23,075",
Adjustments for prior periods from adopting ASU 2020-06,,—,,,,—,,,—,,(474,),,,—,,,211,,,(263,),,—,,,(263,)
Exercises of conversion feature of convertible senior notes,,—,,,,2,,,0,,6,,,,—,,,—,,,6,,,—,,,6,
Settlements of warrants,,—,,,,112,,,0,,—,,,,—,,,—,,,—,,,—,,,—,
Issuance of common stock for equity incentive awards,,—,,,,107,,,0,,707,,,,—,,,—,,,707,,,—,,,707,
Stock-based compensation,,—,,,,—,,,—,,"2,299",,,,—,,,—,,,"2,299",,,—,,,"2,299",
Contributions from noncontrolling interests,,2,,,,—,,,—,,—,,,,—,,,—,,,—,,,—,,,—,
Distributions to noncontrolling interests,,(66,),,,—,,,—,,—,,,,—,,,—,,,—,,,(106,),,(106,)
Buy-outs of noncontrolling interests,,(15,),,,—,,,—,,5,,,,—,,,—,,,5,,,—,,,5,
Net income,,43,,,,—,,,—,,—,,,,—,,,"5,519",,,"5,519",,,82,,,"5,601",
Other comprehensive loss,,—,,,,—,,,—,,—,,,,(309,),,—,,,(309,),,—,,,(309,)
"Balance as of December 31, 2021",$,568,,,$,"3,100",,$,3,$,"29,803",,,$,54,,$,329,,$,"30,189",,$,826,,$,"31,015",
Exercises of conversion feature of convertible senior notes,,—,,,,0,,,0,,0,,,,—,,,—,,,—,,,—,,,—,
Settlements of warrants,,—,,,,37,,,0,,0,,,,—,,,—,,,—,,,—,,,—,
Issuance of common stock for equity incentive awards,,—,,,,27,,,0,,541,,,,—,,,—,,,541,,,—,,,541,
Stock-based compensation,,—,,,,—,,,—,,"1,806",,,,—,,,—,,,"1,806",,,—,,,"1,806",
Distributions to noncontrolling interests,,(46,),,,—,,,—,,—,,,,—,,,—,,,—,,,(113,),,(113,)
Buy-outs of noncontrolling interests,,(11,),,,—,,,—,,27,,,,—,,,—,,,27,,,(61,),,(34,)
Net (loss) income,,(102,),,,—,,,—,,—,,,,—,,,"12,556",,,"12,556",,,133,,,"12,689",
Other comprehensive loss,,—,,,,—,,,—,,—,,,,(415,),,—,,,(415,),,—,,,(415,)
"Balance as of December 31, 2022",$,409,,,,"3,164",,$,3,$,"32,177",,,$,(361,),$,"12,885",,$,"44,704",,$,785,,$,"45,489",
