Unnamed: 0,"Balances atDecember 31, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"Balances atJanuary 1, 2021",Unnamed: 7,Unnamed: 8,Unnamed: 9
Assets,,,,,,,,,
"Property, plant and equipment, net",$,"12,747",,$,(45,),$,"12,702",
Liabilities,,,,,,,,,
Current portion of debt and finance leases,,"2,132",,,50,,,"2,182",
"Debt and finance leases, net of current portion",,"9,556",,,219,,,"9,775",
Mezzanine equity,,,,,,,,,
Convertible senior notes,,51,,,(51,),,—,
Equity,,,,,,,,,
Additional paid-in capital,,"27,260",,,(474,),,"26,786",
Accumulated deficit,,"(5,399",),,211,,,"(5,188",)
