Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24
(Dollars in millions),2022,,2021.0,,,2020,,$,%,,$,,%,,,
Cost of revenues,,,,,,,,,,,,,,,,
Automotive sales,$,"49,599",,$,"32,415",,$,"19,696",$,"17,184",,53.0,,$,"12,719",65.0
Automotive leasing,,"1,509",,,978,,,563,,531,,54.0,,,415,74.0
Total automotive cost of revenues,,"51,108",,,"33,393",,,"20,259",,"17,715",,53.0,,,"13,134",65.0
Services and other,,"5,880",,,"3,906",,,"2,671",,"1,974",,51.0,,,"1,235",46.0
"Total automotive & services and othersegment cost of revenues",,"56,988",,,"37,299",,,"22,930",,"19,689",,53.0,,,"14,369",63.0
Energy generation and storage segment,,"3,621",,,"2,918",,,"1,976",,703,,24.0,,,942,48.0
Total cost of revenues,$,"60,609",,$,"40,217",,$,"24,906",$,"20,392",,51.0,,$,"15,311",61.0
Gross profit total automotive,$,"20,354",,$,"13,839",,$,"6,977",,,,,,,,
Gross margin total automotive,,28.5,,,29.3,,,25.6,,,,,,,,
"Gross profit total automotive & services and othersegment",$,"20,565",,$,"13,735",,$,"6,612",,,,,,,,
"Gross margin total automotive & services and othersegment",,26.5,,,26.9,,,22.4,,,,,,,,
Gross profit energy generation and storage segment,$,288,,$,(129,),$,18,,,,,,,,
Gross margin energy generation and storage segment,,7.4,,,(4.6,),,0.9,,,,,,,,
Total gross profit,$,"20,853",,$,"13,606",,$,"6,630",,,,,,,,
Total gross margin,,25.6,,,25.3,,,21.0,,,,,,,,
