Unnamed: 0,Stock Options,Unnamed: 1,RSUs,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,Weighted-,,,,,Weighted-,,,,,,
,,,Weighted-,,Average,Aggregate,,,,Average,,,,,,
,Number of,,Average,,Remaining,Intrinsic,,Number,,Grant,,,,,,
,Options,,Exercise,,Contractual,Value,,of RSUs,,Date Fair,,,,,,
,(in thousands),,Price,,Life (years),(in billions),,"(inthousands)",,Value,,,,,,
Beginning of period (1),,"357,120",,$,28.15,,,,,,"34,312",,$,88.23,,
Granted,,"4,120",,$,226.53,,,,,,"8,714",,$,239.85,,
Exercised or released,,"(7,971",),$,27.96,,,,,,"(17,702",),$,61.74,,
Cancelled,,"(9,705",),$,24.25,,,,,,"(3,991",),$,140.68,,
End of period,,"343,564",,$,30.65,5.19,,$,32.79,,,"21,333",,$,162.32,
"Vested and expectedto vest, December 31, 2022",,"343,105",,$,30.61,,5.19,,$,32.75,,,"21,323",,$,162.33
"Exercisable and vested,December 31, 2022 (2)",,"304,862",,$,25.68,,5.08,,$,29.93,,,,,,
