"Balance as of December 31, 2020",$,604,Unnamed: 1,"2,879",Unnamed: 2,$.1,3,$.2,"27,260",Unnamed: 4,$.3,363,$.4,"(5,401)",Unnamed: 6,$.5,"22,225",$.6,850,$.7,"23,075"
Adjustments for prior periods from adopting ASU 2020-06,—,,—,,—,,(474),—,,211,,(263),—,,(263),,,,,,
Exercises of conversion feature of convertible senior notes,—,,2,,—,,6,—,,—,,6,—,,6,,,,,,
Settlements of warrants,—,,112,,—,,—,—,,—,,—,—,,—,,,,,,
Issuance of common stock for equity incentive awards,—,,107,,—,,707,—,,—,,707,—,,707,,,,,,
Stock-based compensation,—,,—,,—,,"2,299",—,,—,,"2,299",—,,"2,299",,,,,,
Contributions from noncontrolling interests,2,,—,,—,,—,—,,—,,—,—,,—,,,,,,
Distributions to noncontrolling interests,(66),,—,,—,,—,—,,—,,—,(106),,(106),,,,,,
Buy-outs of noncontrolling interests,(15),,—,,—,,5,—,,—,,5,—,,5,,,,,,
Net income,43,,—,,—,,—,—,,"5,519",,"5,519",82,,"5,601",,,,,,
Other comprehensive loss,—,,—,,—,,—,(309),,—,,(309),—,,(309),,,,,,
"Balance as of December 31, 2021",$,568.0,,"3,100",,$,3,$,"29,803",,$,54,$,329,,$,"30,189",$,826.0,$,"31,015"
Settlements of warrants,—,,37,,—,,—,—,,—,,—,—,,—,,,,,,
Issuance of common stock for equity incentive awards,—,,27,,—,,541,—,,—,,541,—,,541,,,,,,
Stock-based compensation,—,,—,,—,,"1,806",—,,—,,"1,806",—,,"1,806",,,,,,
Distributions to noncontrolling interests,(46),,—,,—,,—,—,,—,,—,(113),,(113),,,,,,
Buy-outs of noncontrolling interests,(11),,—,,—,,27,—,,—,,27,(61),,(34),,,,,,
Net (loss) income,(102),,—,,—,,—,—,,"12,556",,"12,556",133,,"12,689",,,,,,
Other comprehensive loss,—,,—,,—,,—,(415),,—,,(415),—,,(415),,,,,,
"Balance as of December 31, 2022",$,409.0,,"3,164",,$,3,$,"32,177",,$,(361),$,"12,885",,$,"44,704",$,785.0,$,"45,489"
Issuance of common stock for equity incentive awards,—,,21,,—,,700,—,,—,,700,—,,700,,,,,,
Stock-based compensation,—,,—,,—,,"2,013",—,,—,,"2,013",—,,"2,013",,,,,,
Distributions to noncontrolling interests,(32),,—,,—,,—,—,,—,,—,(108),,(108),,,,,,
Buy-outs of noncontrolling interests,(39),,—,,—,,2,—,,—,,2,(17),,(15),,,,,,
Net (loss) income,(96),,—,,—,,—,—,,"14,997",,"14,997",73,,"15,070",,,,,,
Other comprehensive income,—,,—,,—,,—,218,,—,,218,—,,218,,,,,,
"Balance as of December 31, 2023",$,242.0,,"3,185",,$,3,$,"34,892",,$,(143),$,"27,882",,$,"62,634",$,733.0,$,"63,367"
