Unnamed: 0,2017 2018,2019,2020,2021,Change in %
G R O U P,nan,nan,nan,nan,nan
Spending on employee training and development (in million €) 1,349 373,370,279,389,39.4
A U T O M O T I V E S E G M E N T,nan,nan,nan,nan,nan
Deliveries by brand 2,nan,nan,nan,nan,nan
BMW 3,"2,089,854 2,117,854","2,184,939","2,028,841","2,213,790",9.1
MINI,"371,729 364,101","347,465","292,582","302,138",3.3
Rolls­Royce,"3,438 4,194","5,100","3,756","5,586",48.7
Total 3,"2,465,021 2,486,149","2,537,504","2,325,179","2,521,514",8.4
Production by brand,nan,nan,nan,nan,nan
BMW 4,"2,123,947 2,168,496","2,205,841","1,980,740","2,166,644",9.4
MINI,"378,486 368,685","352,729","271,121","288,713",6.5
Rolls­Royce,"3,308 4,353","5,455","3,776","5,912",56.6
Total 4,"2,505,741 2,541,534","2,564,025","2,255,637","2,461,269",9.1
"Energy consumption per vehicle produced (in MWh) 5, 6",2.17 2.12,2.04,2.12,2.10,– 0.9
M O T O R C Y C L E S S E G M E N T,nan,nan,nan,nan,nan
Production volume,nan,nan,nan,nan,nan
BMW,"185,682 162,687","187,116","168,104","187,500",11.5
F I N A N C I A L S E R V I C E S S E G M E N T,nan,nan,nan,nan,nan
New contracts with retail customer,"1,828,604 1,908,640","2,003,782","1,845,271","1,956,514",6.0
"1 Training for BMW Group employees and temporary staff at consolidated companies worldwide. Data are collated on the basis of direct inputs of participants and, to a small extent, by extrapolation. Data also include e-learning formats.",nan,nan,nan,nan,nan
2 Delivery figures presented for 2020 and 2021 are not directly comparable to those of previous years. See sales figures for deliveries in the section ↗ Comparison of Forecasts with Actual Outcomes for further information.,nan,nan,nan,nan,nan
