S I G N I F I C A N T LY,Unnamed: 0,2021,2020,2019,2018,2017
The Board of Management and the Supervisory Board will,C O M M O N S T O C K,nan,nan,nan,nan,nan
propose to the Annual General Meeting that the unappropri-,"Number of shares in 1,000","601,995","601,995","601,995","601,995","601,995"
"ated profit of BMW AG amounting to € 3,827 million (2020:",Stock exchange price in € 1,nan,nan,nan,nan,nan
"€ 1,253 million) be used to pay a dividend of € 5.80 per",nan,nan,nan,nan,nan,nan
nan,Year­end closing price,88.49,72.23,73.14,70.70,86.83
share of common stock (2020: € 1.90) and a dividend of,nan,nan,nan,nan,nan,nan
€ 5.82 per share of preferred stock (2020: € 1.92). The pay-,High,95.89,76.68,77.75,96.26,90.83
out ratio for 2021 therefore stands at 30.7 % (2020: 32.5 %).,Low,68.34,37.66,58.70,69.86,77.71
nan,P R E F E R R E D S T O C K,nan,nan,nan,nan,nan
nan,"Number of shares in 1,000","59,404","57,689","56,867","56,127","55,605"
nan,Stock exchange price in € 1,nan,nan,nan,nan,nan
nan,Year­end closing price,73.30,55.20,55.05,62.10,74.64
nan,High,82.00,57.60,67.85,85.50,78.89
nan,Low,51.60,32.50,47.54,60.70,67.29
nan,K E Y D ATA P E R S H A R E I N €,nan,nan,nan,nan,nan
nan,Dividend,nan,nan,nan,nan,nan
nan,Common stock,5.80 2,1.90,2.50,3.50,4.00
nan,Preferred stock,5.82 2,1.92,2.50,3.52,4.02
nan,Earnings per share of common stock 3,18.77,5.73,7.47,10.605,13.07
nan,Earnings per share of preferred stock 4,18.79,5.75,7.49,10.625,13.09
nan,Free cash flow Automotive segment,9.61,5.15,3.90,4.12,6.78
nan,Equity,113.60,93.26,90.92,88.265,82.95
