Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Assets,Note,2022,2021
in euro thousand,nan,nan,nan
Receivables from BMW Group companies,[9],"18,107,757","18,914,307"
Derivative assets,[18],"814,400","664,738"
Non-current assets,nan,"18,922,157","19,579,045"
Receivables from BMW Group companies,[9],"23,731,120","21,695,068"
Derivative assets,[18],"500,386","207,578"
Interest receivables and other receivables,[10],"65,155",1
Deferred tax,[17],829,-
Cash and cash equivalents,[11],"1,041","6,236"
Current assets,nan,"24,298,531","21,908,883"
Total assets,nan,"43,220,688","41,487,928"
Equity and liabilities,Note,2022,2021
in euro thousand,nan,nan,nan
Issued capital,[12],"1,750","1,750"
Share premium reserve,[12],"55,488","55,488"
Cost of hedging reserve,[12],(87),"2,015"
Retained earnings,[12],"247,222","128,333"
Undistributed income,[12],"403,943","118,889"
Equity,nan,"708,316","306,475"
Debt securities,[13],"15,839,913","22,338,418"
Loans due to banks,[14],"1,230,819","2,003,028"
Liabilities due to BMW Group companies,[15],"25,000","775,000"
Derivative liabilities,[18],"2,070,167","345,505"
Deferred Tax Liability,[17],798,701
Non-current liabilities,nan,"19,166,697","25,462,652"
Debt securities,[13],"8,318,096","8,973,612"
Loans due to banks,[14],"443,660","720,487"
Liabilities due to BMW Group companies,[15],"14,086,869","5,511,773"
Derivative liabilities,[18],"316,692","316,589"
Interest payables and other liabilities,[16],"180,358","196,340"
Current liabilities,nan,"23,345,675","15,718,801"
Total equity and liabilities,nan,"43,220,688","41,487,928"
