Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
in euro thousand,Note,Issued,Share,Cost of,Retained Undistributed,Total
nan,nan,Capital,premium,hedging,earnings income,nan
nan,nan,nan,reserve,reserve,nan,nan
1 January 2021,[12],"1,750","55,488","7,763","121,619 6,714","193,334"
Net income,nan,-,-,-,"- 118,889","118,889"
Other comprehensive income for the,nan,nan,nan,nan,nan,nan
period after tax,nan,-,-,"(5,748)",- -,"(5,748)"
Comprehensive income 31,nan,nan,nan,nan,nan,nan
December 2021,nan,-,-,"(5,748)","- 118,889","113,141"
Appropriation of results 2020,nan,-,-,-,"6,714 (6,714)",-
31 December 2021,nan,"1,750","55,488","2,015","128,333 118,889","306,475"
1 January 2022,nan,"1,750","55,488","2,015","128,333 118,889","306,475"
Net income,nan,-,-,-,"- 403,943","403,943"
Other comprehensive income for the,nan,nan,nan,nan,nan,nan
period after tax,nan,-,-,"(2,102)",- -,"(2,102)"
Total comprehensive income 31,nan,nan,nan,nan,nan,nan
December 2022,nan,-,-,"(2,102)","- 403,943","401,841"
Appropriation of results 2021,nan,-,-,-,"118,889 (118,889)",-
31 December 2022,[12],"1,750","55,488",(87),"247,222 403,943","708,316"
