Unnamed: 0,Unnamed: 1
in euro thousand 2022,2021
"Income/(loss) before tax 550,600","155,682"
"Income tax using the domestic corporate tax rate (25.8%) (2021: 25%) (142,055)","(38,921)"
"Tax expense relating to other periods 3,748","2,109"
"Tax expense relating to other differences 3,037",-
"Withholding taxes (11,387)",19
"Total tax income/(expense) in income statement (146,657)","(36,793)"
Effective tax rate 26.6%,23.6%
"The 2022 Dutch corporation tax applies at 25.8%, which represents a slight increase from the previous year’",nan
"In 2022, the Company incurred a tax expense of 3 million as a result of the change in tax rate (from 25% to",nan
"BMW Finance N.V., a member of the fiscal unity headed by BMW Holding B.V., is jointly and severally",nan
payment of any tax liability of the fiscal unity. The following companies are part of the fiscal unity per 31 De,nan
− BMW Holding B.V. (head of the fiscal unity),nan
− BMW Finance N.V.,nan
− BMW Nederland B.V.,nan
− BMW Financial Services B.V.,nan
− BMW China Capital B.V.,nan
Remuneration of Board of Directors,nan
"In 2022, the remuneration of the Board of Directors, which is short-term in nature, amounted euro 0.6",nan
euro 0.6 million). The total remuneration consists of periodic remuneration and bonuses plus other remuner,nan
in euro thousand 2022,2021
Periodic remuneration 450,446
Bonuses 64,45
Other remuneration 79,86
Total remuneration of Board of Directors 593,577
"The external member of the Supervisory Board received a remuneration of euro 10,000 in 2022. No fur",nan
"bonuses, or incentives were received by members of the Supervisory Board.",nan
Receivables from BMW Group companies,nan
in euro thousand 2022,2021
"Non-current receivables from BMW Group companies 18,107,757","18,914,307"
"Current receivables from BMW Group companies 23,731,120","21,695,068"
"Total receivables from BMW Group companies 41,838,877","40,609,375"
