Unnamed: 0,Unnamed: 1,Unnamed: 2
in euro thousand Maturity within Maturity between,Maturity later,Total Nominal
one year one and five,than five years,nan
years,nan,nan
Assets,nan,nan
"Foreign Currency Derivatives - 7,982,610","10,523,070","18,505,680"
"Interest Rate Derivatives 1,060,162 1,281,706",-,"2,341,868"
Liabilities,nan,nan
"Foreign Currency Derivatives 1,898,698,499 813,141","14,594,959","1,914,106,599"
"Interest Rate Derivatives 5,491,162 11,015,069","4,969,854","21,476,085"
31 December 2021:,nan,nan
in euro thousand Maturity within Maturity between,Maturity later,Total Nominal
one year one and five,than five years,nan
years,nan,nan
Assets,nan,nan
"Foreign Currency Derivatives 144,296 945,879","795,629","1,885,804"
"Interest Rate Derivatives 5,464,712 12,530,752","3,204,299","21,199,763"
Liabilities,nan,nan
"Foreign Currency Derivatives 11,555,212 3,944,865","485,537","15,985,614"
"Interest Rate Derivatives 5,779,667 8,677,117","2,633,000","17,089,784"
The following table summarises the key information on hedged items for each risk category:,nan,nan
31 December 2022 Fair Values,nan,nan
in euro thousand Assets,Liabilities,Change in values
nan,nan,of hedged items
Foreign currency risk -,"1,312,416","146,129"
Interest rate risk -,"20,387,102","1,973,442"
31 December 2021 Fair Values,nan,nan
in euro thousand Assets,Liabilities,Change in values
nan,nan,of hedged items
Foreign currency risk -,"2,125,553","45,934"
Interest rate risk -,"25,200,075","532,963"
The following table summarises the key information on the hedging instruments for each risk category:,nan,nan
31 December 2022 Fair Values,nan,nan
in euro thousand Assets,Liabilities,Change in values
nan,nan,of hedging
nan,nan,instrument
Fair value hedges,nan,nan
"Foreign currency risk 79,557","159,462","(143,992)"
"Interest rate risk 66,080","1,771,717","(1,967,639)"
