Unnamed: 0,Unnamed: 1,Unnamed: 2
in euro thousand,2022,2021
Loans and Receivables,nan,nan
Receivables from BMW Group companies,"41,838,877","40,609,375"
Interest receivables and other receivables,"65,155",1
Marketable securities,-,-
Cash and cash equivalents,"1,041","6,236"
Derivative assets,"1,314,786","872,316"
Gross exposure,"43,219,859","41,487,928"
Guaranteed by BMW AG,"41,384,181","40,446,815"
ISDA Agreement (netting with liability derivative positions),"876,201","458,569"
Residual maximum exposure,"959,477","582,543"
