Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
31 December 2022,Maturity within,Maturity,Maturity later,Total,Carrying
in euro thousand,one year,between,than five years,nan,amount
nan,nan,one and five,nan,nan,nan
nan,nan,years,nan,nan,nan
Debt securities,"8,668,004","13,108,690","4,881,533","26,658,227","24,158,009"
Loans due to banks and,nan,nan,nan,nan,nan
BMW Group companies,"14,452,998","704,549","775,308","15,932,855","15,786,348"
Derivative instruments –,nan,nan,nan,nan,nan
outflow,"4,950,902","5,664,099","1,184,039","11,799,040","2,386,859"
Derivative instruments –,nan,nan,nan,nan,nan
inflow,"4,087,804","4,247,524","908,268","9,243,596",-
Interest payables and other,nan,nan,nan,nan,nan
financial liabilities,"180,358",-,-,"180,358","180,358"
Total,"24,164,458","15,229,814","5,932,612","45,326,884","42,511,574"
31 December 2021,Maturity within,Maturity,Maturity later,Total,Carrying
in euro thousand,one year,between,than five years,nan,amount
nan,nan,one and five,nan,nan,nan
nan,nan,years,nan,nan,nan
Debt securities,"9,338,550","17,221,065","5,650,944","32,210,559","31,312,030"
Loans due to banks and,nan,nan,nan,nan,nan
BMW Group companies,"6,224,517","2,048,506","821,765","9,094,788","9,010,288"
Derivative instruments –,nan,nan,nan,nan,nan
outflow,"12,530,898","4,386,829","621,407","17,539,134","662,094"
Derivative instruments –,nan,nan,nan,nan,nan
inflow,"12,113,716","4,081,857","560,780","16,756,353",-
Interest payables and other,nan,nan,nan,nan,nan
financial liabilities,"196,340",-,-,"196,340","196,340"
Total,"16,176,589","19,574,543","6,533,336","42,284,468","41,180,752"
