in thousand (all local currency) Non derivative  Non derivative,Derivative,Net
financial assets financial liabilities,financial,exposure
nan,instruments,nan
"AUD 854,639 (273,000)","(581,639)",-
"BGN 16,036 -","(16,036)",-
CAD - -,-,-
"CHF 1,174,696 -","(1,174,696)",-
"CNH 724,237 (524,237)","(615,000)","(415,000)"
"CNY 13,350,175 (13,000,241)",-,"349,934"
"CZK 9,176,462 -","(9,176,462)",-
"DKK 2,866,444 -","(2,866,444)",-
"GBP 5,981,501 -","(5,981,501)",-
"HKD 409,000 (1,224,000)","815,000",-
"HUF 16,605,865 -","(16,605,865)",-
"INR 1,000,000 -","(1,000,000)",-
"JPY 151,068,592 (13,400,000)","(137,668,592)",-
"MXN 11,513,806 -","(11,513,806)",-
"NOK 5,543,704 (1,980,000)","(3,563,704)",-
"NZD 202,686 -","(202,686)",-
"PLN 6,382,289 -","(6,382,289)",-
"RON 10,068 -","(10,068)",-
RUB - -,-,-
"SEK 10,722,852 (1,500,000)","(9,222,852)",-
"USD 257,525 (1,000,000)","742,475",-
"ZAR 21,186,279 -","(21,186,279)",-
The sensitivity of the Company’s results to changes in foreign currencies against the functional currency sh,nan,nan
Currency Net exposure in Effects on result of Effects on result of,nan,nan
thousand a 10% rise in the,a 10% decrease in,nan
euro equivalent euro against the,the euro against,nan
nan,respective,the respective
nan,currency,currency
(in euro thousand),(in euro thousand),nan
AUD -,-,-
BGN -,-,-
CAD -,-,-
CHF -,-,-
"CNH (56,248)","5,113","(6,250)"
"CNY 47,524","(4,320)","5,280"
CZK -,-,-
DKK -,-,-
GBP -,-,-
HKD -,-,-
HUF -,-,-
INR -,-,-
JPY -,-,-
MXN -,-,-
NOK -,-,-
NZD -,-,-
PLN -,-,-
RON -,-,-
"RUB 525,028","(47,730)","58,336"
SEK -,-,-
USD -,-,-
ZAR -,-,-
"Total 516,304","(46,937)","57,366"
