04 Annual Management Report,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
08 Report of the Supervisory Board,in euro thousand,Note,2023,2022
10 Financial statements,nan,nan,nan,nan
10 Income Statement and Statement,nan,nan,nan,nan
of comprehensive income for the,nan,nan,nan,nan
year ended 31 December 2023,Net income/(loss) for the year,nan,"(394,288)","403,943"
11 Balance Sheet at 31 December,nan,nan,nan,nan
2023,nan,nan,nan,nan
12 Cash Flow Statement for the year,nan,nan,nan,nan
ended 31 December 2023,Adjustments for non-cash items,nan,nan,nan
13 Statement of Changes in Equity,Fair value measurement losses/gains derivatives,nan,"(106,768)","1,580,318"
14 Notes to the Financial Statements,nan,nan,nan,nan
15 1. Significant accounting policies,Fair value measurement losses debt securities,nan,"669,784","(1,702,472)"
19 2. Interest income and expense,nan,nan,nan,nan
20 3. Other financial income and,Amortisation financial instruments,nan,"(13,106)","12,496"
expenses,Loss/ (gain) on revaluation of financial instruments,nan,"4,049","(2,833)"
20 4. Reversal of impairment / (impair-,nan,nan,nan,nan
ment loss) on financial,Change in impairment allowance,[4],"3,313",96
receivables,nan,nan,nan,nan
20 5. Result from financial,Taxes,[7],"(112,674)","146,657"
– 21 6. Miscellaneous income & transactions,Defered tax,nan,"13,314",nan
expenses,Interest income,[2],"(1,965,292)","(988,331)"
22 7. Taxes,nan,nan,nan,nan
22 8. Remuneration of Board of,Interest expense,[2],"1,939,115","961,574"
Directors,nan,nan,nan,nan
23 9. Receivables from BMW Group,nan,nan,nan,nan
companies,Changes in operating assets and liabilities,nan,nan,nan
24 10. Other receivables,nan,nan,nan,nan
24 11. Cash and cash equivalents,Receivables from BMW Group companies,[9],"1,056,568","(1,554,602)"
24 12. .Equity,nan,nan,nan,nan
25 13. Debt securities,Receivables and other assets,nan,"(139,358)","(65,154)"
27 14. Loans due to banks,Derivatives,nan,"85,811","(298,024)"
27 15. Liabilities due to BMW Group,nan,nan,nan,nan
companies,Liabilities to BMW Group companies,[15],"54,687","140,828"
28 16. Movement schedule liabilities,nan,nan,nan,nan
28 17. Deferred tax liability,Other liabilities,nan,(86),"1,036"
28 18. Financial instruments,Interest received,nan,"1,806,216","847,518"
34 19. Risk management,nan,nan,nan,nan
40 20. Related parties,Interest paid,nan,"(1,913,196)","(971,345)"
41 21. Subsequent events,nan,nan,nan,nan
42 Other information,Tax paid,nan,"(35,092)",(391)
"(1,488,686) 42 42 Statutory rules as to appropriation Independent auditor’s report",Cash flow from operating activities,nan,"952,997",nan
of result,nan,nan,nan,nan
44 Declaration by the Supervisory,nan,nan,nan,nan
Board,Cash flow from investing activities,nan,–,–
45 Independent auditor’s report,nan,nan,nan,nan
