Interest Currency,Issue volume in,Weighted average,Weighted average.1
nan,thousands,maturity period (in years),interest rate (in %)
Variable EUR,"500,000",3.0,1.8
Variable NOK,"1,230,000",3.0,5.3
Variable SEK,"1,500,000",4.0,3.2
Fixed AUD,"273,000",10.0,3.2
Panda Bond CNY,"13,500,000",3.0,3.0
Fixed EUR,"20,650,000",7.1,0.8
Fixed HKD,"1,224,000",6.6,2.9
Fixed JPY,"13,400,000",5.6,0.6
Fixed NOK,"750,000",4.0,2.3
Fixed USD,"1,000,000",7.5,2.6
"Under the EMTN Program, the Company issued 11",nan,Paper Program support flexible and broad access to,nan
new debt securities during the year 2023 (2022: 2,nan,"capital markets. Since May 2006, the Company acts",nan
new debt securities). During the year the Company,nan,as an issuer under the,euro 2.0 billion French
redeemed 13 EMTN’s (2022: 15 EMTN’s). Further,nan,Commercial Paper (Billets de Trésorerie) Program,nan
"issuers are BMW AG, BMW US Capital LLC, BMW",nan,established by the Company.,nan
International Investment B.V. and,BMW Japan,The outstanding balances with respect to the,nan
"Finance Corp. Furthermore, the Company partici-",nan,commercial paper programs at year-end are related,nan
pates in the euro 5.0 billion,Multi-Currency,to the euro 5.0 billion Multi-Currency Commercial,nan
Commercial Paper Program established by BMW,nan,Paper Program and the French Commercial Paper,nan
"AG, BMW Finance N.V. and BMW",International,Program. The average maturity and interest rates,nan
