31 December 2022 At amortised,Fair value through,Total
in euro thousand cost,profit or loss,nan
Assets,nan,nan
Derivative instruments,nan,nan
Fair value hedges –,"145,638","145,638"
Other derivative instruments –,"1,169,148","1,169,148"
"Other Receivables 65,155",–,"65,155"
"Cash and Cash equivalents 1,041",–,"1,041"
"Receivables from BMW Group companies 41,838,877",–,"41,838,877"
"Total of financial assets 41,905,073","1,314,786","43,219,859"
31 December 2022 At amortised,Fair value through,Total
in euro thousand cost,profit or loss,nan
Liabilities,nan,nan
"Debt securities 24,326,910 *",–,"24,326,910"
"Loans due to banks 1,684,499 *",–,"1,684,499"
Derivative instruments,nan,nan
Fair value hedges –,"1,931,179","1,931,179"
Other derivative instruments –,"455,680","455,680"
"Other liabilities 1,436 *",–,"1,436"
"Liabilities due to BMW Group companies 14,111,869",–,"14,111,869"
"Total of financial liabilities 40,124,714","2,386,859","42,511,574"
* Prior period re-presented – for more information refer to the section basis of preparation.,nan,nan
The hedge ratio applied by the Company is 100%.,nan,nan
Fair value measurement of financial instruments,nan,nan
"The fair values shown are computed using the market counted cash flow models. In the latter case, amounts",nan,nan
information available at the balance sheet date were discounted at 31 December 2023 on the basis,nan,nan
"through appropriate measurement methods, e.g. dis- of the following interest rates:",nan,nan
% EUR GBP AUD RUB,JPY,ZAR
interest rate for 6 months 3.86 5.16 4.29 15.25,0.06,8.73
interest rate for one year 3.48 4.75 4.13 14.30,0.12,9.13
interest rate for five years 2.45 3.40 3.65 10.12,0.51,8.04
interest rate for 10 years 2.51 3.32 3.92 9.02,0.89,9.11
The interest rates at 31 December 2022 were:,nan,nan
% EUR GBP AUD RUB,JPY,ZAR
interest rate for 6 months 2.69 4.11 3.44 8.80,0.05,7.93
interest rate for one year 3.30 4.48 3.71 11.65,0.14,8.68
interest rate for five years 3.26 4.12 3.88 12.51,0.64,8.26
interest rate for 10 years 3.22 3.77 4.18 11.86,0.95,9.17
