% EUR,GBP,AUD RUB,JPY,ZAR
interest rate for 6 months 3.86,5.16,4.29 15.25,0.06,8.73
interest rate for one year 3.48,4.75,4.13 14.30,0.12,9.13
interest rate for five years 2.45,3.40,3.65 10.12,0.51,8.04
interest rate for 10 years 2.51,3.32,3.92 9.02,0.89,9.11
The interest rates at 31 December 2022 were:,nan,nan,nan,nan
% EUR,GBP,AUD RUB,JPY,ZAR
interest rate for 6 months 2.69,4.11,3.44 8.80,0.05,7.93
interest rate for one year 3.30,4.48,3.71 11.65,0.14,8.68
interest rate for five years 3.26,4.12,3.88 12.51,0.64,8.26
interest rate for 10 years 3.22,3.77,4.18 11.86,0.95,9.17
Interest rates taken from interest rate curves were,nan,ket prices on disposal. Observable financial market,nan,nan
"adjusted, where necessary, to take account of the",nan,prices are taken into account in the measurement of,nan,nan
credit quality and risk of the underlying,financial,derivative financial instruments. The valuation takes,nan,nan
instrument. Derivative financial instruments are mea-,nan,into account the Company’s own default risk and that,nan,nan
sured at their fair value. The fair values of derivative,nan,of counterparties in the form of credit default swap,nan,nan
financial instruments are determined using measure-,nan,"(CDS) spreads which have appropriate terms, and",nan,nan
