31 December 2023 Maturity within,Maturity between,Maturity later,Unnamed: 0,Total
in euro thousand one year,one and five years,than five years,nan,Nominal
Assets,nan,nan,nan,nan
"Combined derivatives (FX and IRS) 95,235",nan,–,–,"95,235"
"Interest Rate Derivatives 750,000",nan,"1,750,000 1,850,000",nan,"4,350,000"
Liabilities,nan,nan,nan,nan
"Foreign Currency Derivatives 451,467",nan,"86,275 579,659",nan,"1,117,401"
"Interest Rate Derivatives 3,202,208",nan,"9,422,114 3,326,688",nan,"15,951,010"
31 December 2022 Maturity within,Maturity between,Maturity later,nan,Total
in euro thousand one year,one and five years,than five years,nan,Nominal
Assets,nan,nan,nan,nan
Combined derivatives (FX and IRS) –,nan,"567,454 *",– *,"567,454"
"Interest Rate Derivatives 750,000 *",nan,"750,000 *",–,"1,500,000"
Liabilities,nan,nan,nan,nan
"Combined derivatives (FX and IRS) 166,237 *",nan,"88,769 * 600,829 *",nan,"855,835"
"Interest Rate Derivatives 5,283,208 *","10,504,318 *","4,846,691 *",nan,"20,634,217"
* Adjusted prior year calculation error,nan,nan,nan,nan
The following table summarises the key information,nan,nan,nan,nan
on hedged items for each risk category:,nan,nan,nan,nan
31 December 2023,nan,Fair Values,nan,nan
in euro thousand,Assets,Liabilities,nan,Change in values
nan,nan,nan,nan,of hedged items
Combined risk (FX and IRS),–,"1,137,972",nan,"35,554"
Interest rate risk,–,"19,401,420",nan,"846,479"
31 December 2022,nan,Fair Values,nan,nan
in euro thousand,Assets,Liabilities,nan,Change in values
nan,nan,nan,nan,of hedged items
Combined risk (FX and IRS),–,"1,312,416",nan,"146,129"
Interest rate risk,–,"20,387,102",nan,"1,973,442"
The following table summarises the key information,nan,nan,nan,nan
on the hedging instruments for each risk category:,nan,nan,nan,nan
31 December 2023,nan,Fair Values,nan,nan
in euro thousand,Assets,Liabilities,nan,Change in values
nan,nan,nan,nan,of hedged items
Fair value hedges,nan,nan,nan,nan
Combined risk (FX and IRS),"130,302","198,344",nan,"37,437"
Interest rate risk,"169,768","1,084,664",nan,"837,569"
31 December 2022,nan,Fair Values,nan,nan
in euro thousand,Assets,Liabilities,nan,Change in values
nan,nan,nan,nan,of hedged items
Fair value hedges,nan,nan,nan,nan
Combined risk (FX and IRS),"79,557","159,462",nan,"(143,992)"
Interest rate risk,"66,080","1,771,717",nan,"(1,967,639)"
