Unnamed: 0,2019 2020,2021,2019,2020,2021.1,2019.1,2020.1,2021.2
United States,2.4 2.0,1.9,17.5,14.9,15.4,13.8 %,13.7 %,12.4 %
Canada,0.3 0.2,0.2,2.0,1.6,1.7,14.6,15.1,14.3
Mexico,0.1 —,—,1.4,1.0,1.0,4.4,4.0,4.0
North America,2.8 2.3,2.2,21.1,17.6,18.4,13.2,13.2,12.0
Brazil,0.2 0.1,—,2.8,2.1,2.1,8.1,6.8,1.7
Argentina,0.1 —,—,0.5,0.3,0.4,11.4,9.7,7.9
South America,0.3 0.2,0.1,4.3,3.1,3.6,7.2,6.2,2.6
United Kingdom,0.4 0.2,0.2,2.7,1.9,2.0,13.0,12.9,11.8
Germany,0.3 0.2,0.2,4.0,3.3,3.0,8.3,7.4,5.7
EU20 (d),1.3 1.0,0.9,17.9,13.7,13.7,7.4,7.1,6.4
Turkey,— 0.1,0.1,0.5,0.8,0.8,10.1,12.4,9.7
Europe,1.4 1.1,1.0,19.2,15.1,15.1,7.3,7.2,6.4
China (e),0.6 0.6,0.6,26.1,25.2,26.3,2.2,2.4,2.4
Australia,0.1 0.1,0.1,1.1,0.9,1.1,6.0,6.5,6.8
India,0.1 0.1,—,3.8,2.8,3.5,2.0,1.7,1.0
ASEAN (f),0.1 0.1,0.1,1.8,1.3,1.4,5.9,5.3,5.3
Russia,— —,—,1.8,1.5,1.7,1.6,0.9,1.2
International Markets Group,0.4 0.3,0.3,21.2,17.5,18.7,1.9,1.7,1.8
Global / Total Company,5.5 4.5,4.2,91.9,78.5,82.1,6.0 %,5.8 %,5.1 %
_________,nan,nan,nan,nan,nan,nan,nan,nan
"a) Retail sales represents primarily sales by dealers and is based, in part, on estimated vehicle registrations; includes medium and heavy trucks.",nan,nan,nan,nan,nan,nan,nan,nan
"b) Industry volume is an internal estimate based on publicly available data collected from various government, private, and public sources around the",nan,nan,nan,nan,nan,nan,nan,nan
globe; includes medium and heavy trucks.,nan,nan,nan,nan,nan,nan,nan,nan
c) Market share represents reported retail sales of our brands as a percent of total industry volume in the relevant market or region.,nan,nan,nan,nan,nan,nan,nan,nan
"d) EU20 markets are United Kingdom, Germany, France, Italy, Spain, Austria, Belgium, Czech Republic, Denmark, Finland, Greece, Hungary, Ireland,",nan,nan,nan,nan,nan,nan,nan,nan
"the Netherlands, Norway, Poland, Portugal, Romania, Sweden, and Switzerland.",nan,nan,nan,nan,nan,nan,nan,nan
e) China includes Taiwan; China market share includes Ford brand and JMC brand vehicles produced and sold by our unconsolidated affiliates.,nan,nan,nan,nan,nan,nan,nan,nan
"f) ASEAN includes Philippines, Thailand, and Vietnam.",nan,nan,nan,nan,nan,nan,nan,nan
.S. Sales by Type,nan,nan,nan,nan,nan,nan,nan,nan
"The following table shows U.S. retail sales volume and U.S. wholesales segregated by truck, sport utility vehicle",nan,nan,nan,nan,nan,nan,nan,nan
"“SUV”), and car sales. U.S. retail sales volume reflects transactions with (i) retail and fleet customers (as reported by",nan,nan,nan,nan,nan,nan,nan,nan
"ealers), (ii) government, and (iii) Ford management. U.S. wholesales reflect sales to dealers.",nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,U.S. Retail Sales,nan,nan,U.S. Wholesales,nan,nan
nan,nan,nan,2020,2021,nan,2020,nan,2021
Trucks,nan,nan,"1,102,097","1,011,198",nan,"953,165",nan,"942,472"
SUVs,nan,nan,"749,583",nan,"827,278","712,623",nan,"724,539"
Cars,nan,nan,"193,064",nan,"67,479","160,449",nan,"49,470"
Total Vehicles,nan,nan,"2,044,744","1,905,955",nan,"1,826,237",nan,"1,716,481"
