Key Metrics,Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Market Share (%),2.2 %,nan,2.4 %,nan,0.2 ppts
Wholesale Units (000) (a),535,nan,617,nan,83
Revenue ($M) $,"3,615",$,"3,202",$,(413)
EBIT ($M),(762),nan,(499),nan,263
EBIT Margin (%),(21.1) %,nan,(15.6)%,nan,5.5 ppts
China Unconsolidated Affiliates,nan,nan,nan,nan,nan
Wholesale Units (000) (b),462,nan,564,nan,102
Ford Equity Income/(Loss) ($M) $,(161),$,49,$,210
_________,nan,nan,nan,nan,nan
a) Includes vehicles produced and sold by our unconsolidated affiliates. Revenue does not include these sales.,nan,nan,nan,nan,nan
b) Includes Ford and Lincoln brand and JMC brand vehicles produced and sold in China.,nan,nan,nan,nan,nan
Change in EBIT by Causal Factor (in millions),nan,nan,nan,nan,nan
2019 Full Year EBIT,nan,nan,nan,$,(762)
Volume / Mix,nan,nan,nan,nan,(137)
Net Pricing,nan,nan,nan,nan,(15)
Cost,nan,nan,nan,nan,193
Exchange,nan,nan,nan,nan,(113)
Other,nan,nan,nan,nan,335
2020 Full Year EBIT,nan,nan,nan,$,(499)
