Unnamed: 0,Unnamed: 1,2022,Unnamed: 2,2023 - 2024,Unnamed: 3,2025 - 2026,Unnamed: 4,Thereafter,Unnamed: 5,Total
Company excluding Ford Credit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
On-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Long-term debt (a),$,"2,811",$,134,$,"6,069",$,"10,862",$,"19,876"
Interest payments relating to long-term debt (b),nan,855,nan,"1,650",nan,"1,442",nan,"8,970",nan,"12,917"
Finance leases (c),nan,94,nan,157,nan,119,nan,289,nan,659
Operating leases (d),nan,370,nan,504,nan,270,nan,326,nan,"1,470"
Pension funding (e),nan,171,nan,357,nan,366,nan,—,nan,894
Off-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Purchase obligations,nan,"1,476",nan,"1,143",nan,604,nan,132,nan,"3,355"
Total Company excluding Ford Credit,nan,"5,777",nan,"3,945",nan,"8,870",nan,"20,579",nan,"39,171"
Ford Credit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
On-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Long-term debt (a),nan,"31,709",nan,"39,047",nan,"22,976",nan,"8,968",nan,"102,700"
Interest payments relating to long-term debt (b),nan,"2,408",nan,"3,212",nan,"1,415",nan,838,nan,"7,873"
Operating leases,nan,15,nan,26,nan,19,nan,9,nan,69
Off-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Purchase obligations,nan,31,nan,29,nan,3,nan,—,nan,63
Total Ford Credit,nan,"34,163",nan,"42,314",nan,"24,413",nan,"9,815",nan,"110,705"
Total Company,$,"39,940",$,"46,259",$,"33,283",$,"30,394",$,"149,876"
__________,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
