Company Excluding Ford Credit,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Company Adjusted EBIT excluding Ford Credit (a),$,3.3,$,(0.1),$,5.3
Capital spending,$,(7.6),$,(5.7),$,(6.2)
Depreciation and tooling amortization,nan,5.5,nan,5.3,nan,5.1
Net spending,$,(2.1),$,(0.4),$,(1.1)
Receivables,$,(0.1),$,0.4,$,(0.2)
Inventory,nan,0.1,nan,0.3,nan,(1.8)
Trade Payables,nan,(0.6),nan,1.3,nan,0.3
Changes in working capital,$,(0.6),$,2.0,$,(1.7)
Ford Credit distributions,$,2.9,$,3.3,$,7.5
Interest on debt and cash taxes,nan,(1.5),nan,(1.8),nan,(2.3)
All other and timing differences,nan,0.9,nan,(1.7),nan,(3.1)
Company adjusted free cash flow (a),$,2.9,$,1.3,$,4.6
Global Redesign (including separations),$,(0.9),$,(0.5),$,(1.9)
Changes in debt,nan,1.1,nan,8.4,nan,(3.7)
Funded pension contributions,nan,(0.7),nan,(0.6),nan,(0.8)
Shareholder distributions,nan,(2.6),nan,(0.6),nan,(0.4)
All other (b),nan,(0.4),nan,0.5,nan,7.9
Change in cash,$,(0.8),$,8.5,$,5.7
__________,nan,nan,nan,nan,nan,nan
