Liquidity Sources (a),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Cash,$,11.7,$,18.5,$,12.4
Committed asset-backed facilities,nan,36.6,nan,38.1,nan,37.1
Other unsecured credit facilities,nan,3.0,nan,2.5,nan,2.7
Ford corporate credit facility allocation,nan,3.0,nan,—,nan,—
Total liquidity sources,$,54.3,$,59.1,$,52.2
Utilization of Liquidity (a),nan,nan,nan,nan,nan,nan
Securitization cash and restricted cash,$,(3.6),$,(3.9),$,(3.9)
Committed asset-backed facilities,nan,(17.3),nan,(16.7),nan,(12.5)
Other unsecured credit facilities,nan,(0.8),nan,(0.5),nan,(1.0)
Ford corporate credit facility allocation,nan,—,nan,—,nan,—
Total utilization of liquidity,$,(21.7),$,(21.1),$,(17.4)
Gross liquidity,$,32.6,$,38.0,$,34.8
Asset-backed capacity in excess of eligible receivables and other adjustments,nan,0.4,nan,(2.6),nan,(2.8)
Net liquidity available for use,$,33.0,$,35.4,$,32.0
__________,nan,nan,nan,nan,nan,nan
