Pension Funded Status ($B),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
U.S. Plans,$,(0.7),$,1.0,$,1.7
Non-U.S. Plans,nan,(6.0),nan,(1.3),nan,4.7
Total Global Pension,$,(6.7),$,(0.3),$,6.4
Year-End Discount Rate (Weighted Average),nan,nan,nan,nan,nan,nan
U.S. Plans,nan,2.56%,nan,2.91%,nan,0.35 ppts
Non-U.S. Plans,nan,1.23%,nan,1.75%,nan,0.52 ppts
Actual Asset Returns,nan,nan,nan,nan,nan,nan
U.S. Plans,nan,16.44%,nan,2.82%,nan,(13.62) ppts
Non-U.S. Plans,nan,10.96%,nan,2.69%,nan,(8.27) ppts
Pension - Funded Plans Only ($B),nan,nan,nan,nan,nan,nan
Funded Status,$,0.3,$,5.8,$,5.5
Contributions for Funded Plans,nan,0.6,nan,0.8,nan,0.2
