Adjusted Net Operating Profit/(Loss) After Cash Tax,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Net income/(loss) attributable to Ford,$,—,$,(1.3),$,17.9
Add: Noncontrolling interest,nan,—,nan,—,nan,—
Less: Income tax,nan,0.7,nan,(0.2),nan,0.1
Add: Cash tax,nan,(0.6),nan,(0.4),nan,(0.6)
Less: Interest on debt,nan,(1.0),nan,(1.6),nan,(1.8)
Less: Total pension / OPEB income / (cost),nan,(2.6),nan,(1.0),nan,4.9
Add: Pension / OPEB service costs,nan,(1.0),nan,(1.1),nan,(1.1)
Net operating profit/(loss) after cash tax,$,1.4,$,0.1,$,13.0
Less: Special items (excl. pension / OPEB) pre-tax,nan,(3.3),nan,(0.4),nan,5.9
Adjusted net operating profit/(loss) after cash tax,$,4.7,$,0.5,$,7.1
Invested Capital,nan,nan,nan,nan,nan,nan
Equity,$,33.2,$,30.8,$,48.6
Redeemable noncontrolling interest,nan,—,nan,—,nan,—
Debt (excl. Ford Credit),nan,15.3,nan,24.0,nan,20.4
Net pension and OPEB liability,nan,12.9,nan,13.3,nan,6.4
Invested capital (end of period),$,61.4,$,68.1,$,75.4
Average invested capital,$,61.7,$,70.7,$,72.1
