Global Redesign,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Europe,$,(530),$,(151)
India,nan,(468),nan,(298)
South America,nan,(803),nan,53
China (including Taiwan),nan,150,nan,(380)
North America,nan,(72),nan,(198)
Other,nan,3,nan,7
Subtotal Global Redesign,$,"(1,720)",$,(967)
Other Items,nan,nan,nan,nan
Gain/(loss) on Rivian investment,$,"9,096",$,"(7,377)"
Debt extinguishment premium,nan,"(1,692)",nan,(135)
AV strategy including Argo impairment (see Note 14),nan,—,nan,"(2,812)"
Ford Credit – Brazil restructuring (see Note 21),nan,14,nan,(155)
Russia suspension of operations/asset write-off,nan,—,nan,(158)
Patent matters related to prior calendar years,nan,—,nan,(124)
Other,nan,82,nan,(35)
Subtotal Other Items,$,"7,500",$,"(10,796)"
Pension and OPEB Gain/(Loss),nan,nan,nan,nan
Pension and OPEB remeasurement,$,"3,873",$,29
Pension settlements and curtailments,nan,(70),nan,(438)
Subtotal Pension and OPEB Gain/(Loss),$,"3,803",$,(409)
Total EBIT Special Items,$,"9,583",$,"(12,172)"
Cash effect of Global Redesign (incl. separations),$,"(1,935)",$,(377)
Provision for/(Benefit from) tax special items (a),$,"(1,924)",$,"(2,573)"
__________,nan,nan,nan,nan
