GAAP Financial Measures,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Cash Flows from Operating Activities ($B),$,24.3,$,15.8,$,(8.5)
Revenue ($M),nan,"127,144",nan,"136,341",nan,7 %
Net Income/(Loss) ($M),nan,"(1,279)",nan,"17,937",$,"19,216"
Net Income/(Loss) Margin (%),nan,(1.0)%,nan,13.2 %,nan,14.2 ppts
EPS (Diluted),$,(0.32),$,4.45,$,4.77
Non-GAAP Financial Measures (a),nan,nan,nan,nan,nan,nan
Company Adj. Free Cash Flow ($B),$,1.3,$,4.6,$,3.3
Company Adj. EBIT ($M),nan,"2,536",nan,"10,000",nan,"7,464"
Company Adj. EBIT Margin (%),nan,2.0 %,nan,7.3 %,nan,5.3 ppts
Adjusted EPS (Diluted),$,0.36,$,1.59,$,1.23
