Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,2024 - 2025,Unnamed: 4,2026 - 2027,Unnamed: 5,Thereafter,Unnamed: 6,Total
Company excluding Ford Credit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
On-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Long-term debt (a),$,286,$,964,$,"4,899",$,"13,220",$,"19,369"
Interest payments relating to long-term debt (b),nan,951,nan,"1,873",nan,"1,655",nan,"10,255",nan,"14,734"
Finance leases (c),nan,107,nan,159,nan,99,nan,348,nan,713
Operating leases (d),nan,439,nan,580,nan,294,nan,307,nan,"1,620"
Pension funding (e),nan,162,nan,345,nan,357,nan,—,nan,864
Off-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Purchase obligations (f),nan,"2,089",nan,"1,746",nan,727,nan,119,nan,"4,681"
Total Company excluding Ford Credit,nan,"4,034",nan,"5,667",nan,"8,031",nan,"24,249",nan,"41,981"
Ford Credit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
On-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Long-term debt (a),nan,"29,819",nan,"48,942",nan,"15,990",nan,"6,528",nan,"101,279"
Interest payments relating to long-term debt (b),nan,"3,394",nan,"3,660",nan,"1,325",nan,530,nan,"8,909"
Operating leases,nan,13,nan,23,nan,16,nan,2,nan,54
Off-balance sheet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Purchase obligations,nan,37,nan,22,nan,2,nan,—,nan,61
Total Ford Credit,nan,"33,263",nan,"52,647",nan,"17,333",nan,"7,060",nan,"110,303"
Total Company,$,"37,297",$,"58,314",$,"25,364",$,"31,309",$,"152,284"
__________,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
