Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 11
Net income/(loss) attributable to Ford,$,(1.3),nan,$,17.9,nan,$,(2.0)
Add: Noncontrolling interest,—,nan,—,nan,nan,(0.2),nan,nan
Less: Income tax,(0.2),nan,0.1,nan,nan,0.9,nan,nan
Add: Cash tax,(0.4),nan,(0.6,nan,nan,(0.8),nan,nan
Less: Interest on debt,(1.6),nan,(1.8,nan,nan,(1.3),nan,nan
Less: Total pension / OPEB income / (cost),(1.0),nan,4.9,nan,nan,0.4,nan,nan
Add: Pension / OPEB service costs,(1.1),nan,(1.1,nan,nan,(1.0),nan,nan
Net operating profit/(loss) after cash tax,$,0.1,nan,$,13.0,nan,$,(3.9)
Less: Special items (excl. pension / OPEB) pre-tax,(0.4),nan,5.9,nan,nan,(11.7),nan,nan
Adjusted net operating profit/(loss) after cash tax,$,0.5,nan,$,7.1,nan,$,7.8
