"United States 1,716","2,012",Unnamed: 0,"2,097"
2021,2022,2023.0,nan
China (b) 649,495,nan,467
"United States 1,716","2,012",nan,"2,097"
Canada 233,258,nan,260
China (b) 649,495,nan,467
United Kingdom 227,263,nan,243
Canada 233,258,nan,260
Germany 152,182,nan,162
United Kingdom 227,263,nan,243
Türkiye 72,85,nan,124
Germany 152,182,nan,162
Italy (c) 93,107,nan,122
Türkiye 72,85,nan,124
France (c) 77,90,nan,104
Italy (c) 93,107,nan,122
Other Markets 723,739,nan,834
France (c) 77,90,nan,104
"4,413 Other Markets Total Company 3,942 723","4,231 739",nan,834
