U.S. Plans $,2022 0.1,$,2023(1.3),$.1,2022 (1.4)
PNeonns-Uio.nS .F Punladnesd Status ($B),(0.3),nan,(1.0),nan,(0.7)
U.TSo.t aPll aGnlsobal Pension $$,(00..12),$$,((21..33)),$$,((12..14))
Non-U.S. Plans,(0.3),nan,(1.0),nan,(0.7)
YeTaort-aEl nGdl oDbiascl oPuennts Rioante (Weighted Average) $,(0.2),$,(2.3),$,(2.1)
U.S. Plans,5.51 %,nan,5.17 %,nan,(34) bps
YNeoanr--UE.nSd. PDliasncosunt Rate (Weighted Average),4.42 %,nan,3.98 %,nan,(44) bps
U.S. Plans,5.51 %,nan,5.17 %,nan,(34) bps
NAcotnu-aUl .ASs. sPelta Rnseturns,4.42 %,nan,3.98 %,nan,(44) bps
U.S. Plans,(21.20) %,nan,7.41 %,nan,28.61 ppts
NAcotnu-aUl .ASs. sPelta Rnseturns,(25.40)%,nan,5.56 %,nan,30.96 ppts
U.S. Plans,(21.20) %,nan,7.41 %,nan,28.61 ppts
PNeonns-Uio.nS .- PFluanndsed Plans Only ($B),(25.40)%,nan,5.56 %,nan,30.96 ppts
Funded Status $,4.1,$,2.1,$,(2.0)
PCeonnstriiobnu t-i oFnusn fdoerd F Punladnesd O Pnlalyn (s$B),0.6,nan,0.6,nan,—
Funded Status $,4.1,$,2.1,$,(2.0)
"Contributions for Funded Plans — Worldwide, our defined benefit pension plans were underfunded by $2.3 billion at December 31, 2023, a deterioration",0.6,nan,0.6,nan,nan
