Net income/(loss) attributable to Ford,$,202117.9,$.1,2022(2.0),$.2,2023 4.3
AAdddju: s Nteodn cNoentt rOopllienrga itnintegr ePsrtofit/(Loss) After Cash Tax,nan,—,nan,(0.2),nan,—
NLeest sin: cInocmoem/(elo tsasx) attributable to Ford,$,107..91,$,(02..09 ),$,40..34
AAdddd::NCoanshc otnatxrolling interest,nan,(0—.6 ),nan,((00..82)),nan,(1—.0 )
LLeessss::InInctoemrees tt aoxn debt,nan,(10..18),nan,(01..93),nan,(01..34 )
ALedsds: : C Taostahl tpaexnsion / OPEB income / (cost),nan,(04..96 ),nan,(00..48),nan,((31..10))
LAedsds: : P Inetnesrieosnt /o On PdeEbBt service costs,nan,((11..18)),nan,((11..30)),nan,((10..63))
LeNses:toTpoetaral tpinegn spiroonf it// (OloPsEs)B a ifntecor mcaes h/ (tcaoxst),$,134..90,$,(30..49),$,(36..71)
AdLde:s sP: e Snspieocni a/ lO itPemEBs (seexrcvli.c pee cnossiotsn / OPEB) pre-tax,nan,(51..91 ),nan,(1(11..70)),nan,((02..76))
NAedt joupseteradt innegt porpoefirta/(tlionsgs p) raofftiet/r( lcoasssh) ataftxer cash tax,$$,137..01,$$,(37..98 ),$$,69..57
Less: Special items (excl. pension / OPEB) pre-tax,nan,5.9,nan,(11.7),nan,(2.7)
InvAesdtjuesdt eCda npeitta olperating profit/(loss) after cash tax,$,7.1,$,7.8,$,9.5
Equity,$,48.6,$,43.2,$,42.8
IDnevbets (teexdc lC. aFpoirtda lCredit),nan,20.4,nan,19.9,nan,19.9
NEqeut iptyension and OPEB liability,$,468..64,$,434..72,$,427..08
DeInbvt e(estxecdl. cFaopridta Cl (reenddit) of period),$,2705..44,$,1679..89,$,6199..98
NetA pveenrasgioen iannveds OtePdE cBa pliiatablility,$,726..14,$,704..70,$,687..01
Invested capital (end of period),$,75.4,$,67.8,$,69.8
ROAICv e(raa)ge invested capital,$,1728..10 %,$,7(05..60) %,$,689..19 %
Adjusted ROIC (Non-GAAP) (b),nan,9.8 %,nan,11.2 %,nan,13.9 %
