Unnamed: 0,Default /,LonFgo-rTderm,Unnamed: 1,Long-Term,Ford Credit,Unnamed: 3,LNonRgS-RTOersm
nan,InMvestment IssDueefra Rualtt i/n CoIrspsourearte / g,Senior LUonnsge-cTuerremd,Outlook / Trend,Senior LUonnsge-cTuerremd,Short-Term Unsecured,Outlook / Trend,Gradineimum Long -RTaetrimng
DBRS,CBoBrBp o(lroawte) /,BBSBe n(lioowr ),SOtaubtlloeok /,BBSBe n(lioowr ),SRh-o2r (tl-oTwe)rm,SOtaubtlloeok /,IBnvBeBs (tlmowen) t
nan,Issuer Rating,Unsecured,Trend,Unsecured,Unsecured,Trend,Grade Rating
Fitch,BBB-,BBB-,Stable,BBB-,F3,Stable,BBB-
DBRS,BBB (low),BBB (low),Stable,BBB (low),R-2 (low),Stable,BBB (low)
Moody’s,N/A,Ba1,Stable,Ba1,NP,Stable,Baa3
Fitch,BBB-,BBB-,Stable,BBB-,F3,Stable,BBB-
S&P,BBB-,BBB-,Stable,BBB-,A-3,Stable,BBB-
Moody’s,N/A,Ba1,Stable,Ba1,NP,Stable,Baa3
S&P,BBB-,BBB-,Stable,BBB-,A-3,Stable,BBB-
