(Dollars in millions),Unnamed: 0,2022,Unnamed: 1,2021,Unnamed: 2,2020,$,$.1,Unnamed: 3
Automotive sales,$,"67,210",$,"44,125",$,"24,604","$ 23,085","52% $ 19,521",79%
Automotive regulatory credits,nan,"1,776",nan,"1,465",nan,"1,580",nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,311,21% (115 ),(7 )
Automotive leasing,nan,"2,476",nan,"1,642",nan,"1,052",834,51% 590,56%
Total automotive revenues,nan,"71,462",nan,"47,232",nan,"27,236","24,230","51% 19,996",73%
Services and other,nan,"6,091",nan,"3,802",nan,"2,306","2,289","60% 1,496",65%
Total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment revenue,nan,"77,553",nan,"51,034",nan,"29,542","26,519","52% 21,492",73%
Energy generation and storage segment revenue,nan,"3,909",nan,"2,789",nan,"1,994","1,120",40% 795,40%
Total revenues,$,"81,462",$,"53,823",$,"31,536","$ 27,639","51% $ 22,287",71%
