Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24
(Dollars in millions),2022,nan,2021.0,nan,nan,2020,nan,$,%,nan,$,nan,%,nan,nan,nan
Cost of revenues,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive sales,$,"49,599",nan,$,"32,415",nan,$,"19,696",$,"17,184",nan,53.0,nan,$,"12,719",65.0
Automotive leasing,nan,"1,509",nan,nan,978,nan,nan,563,nan,531,nan,54.0,nan,nan,415,74.0
Total automotive cost of revenues,nan,"51,108",nan,nan,"33,393",nan,nan,"20,259",nan,"17,715",nan,53.0,nan,nan,"13,134",65.0
Services and other,nan,"5,880",nan,nan,"3,906",nan,nan,"2,671",nan,"1,974",nan,51.0,nan,nan,"1,235",46.0
Total automotive & services and other segment cost of revenues,nan,"56,988",nan,nan,"37,299",nan,nan,"22,930",nan,"19,689",nan,53.0,nan,nan,"14,369",63.0
Energy generation and storage segment,nan,"3,621",nan,nan,"2,918",nan,nan,"1,976",nan,703,nan,24.0,nan,nan,942,48.0
Total cost of revenues,$,"60,609",nan,$,"40,217",nan,$,"24,906",$,"20,392",nan,51.0,nan,$,"15,311",61.0
Gross profit total automotive,$,"20,354",nan,$,"13,839",nan,$,"6,977",nan,nan,nan,nan,nan,nan,nan,nan
Gross margin total automotive,nan,28.5,nan,nan,29.3,nan,nan,25.6,nan,nan,nan,nan,nan,nan,nan,nan
Gross profit total automotive & services and other segment,$,"20,565",nan,$,"13,735",nan,$,"6,612",nan,nan,nan,nan,nan,nan,nan,nan
Gross margin total automotive & services and other segment,nan,26.5,nan,nan,26.9,nan,nan,22.4,nan,nan,nan,nan,nan,nan,nan,nan
Gross profit energy generation and storage segment,$,288,nan,$,(129,),$,18,nan,nan,nan,nan,nan,nan,nan,nan
Gross margin energy generation and storage segment,nan,7.4,nan,nan,(4.6,),nan,0.9,nan,nan,nan,nan,nan,nan,nan,nan
Total gross profit,$,"20,853",nan,$,"13,606",nan,$,"6,630",nan,nan,nan,nan,nan,nan,nan,nan
Total gross margin,nan,25.6,nan,nan,25.3,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan
