(Dollars in millions),Unnamed: 0,2022,Unnamed: 1,2021,2020,$,Unnamed: 3,$.1,Unnamed: 4
Cost of revenues,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive sales,$,"49,599",$,"32,415 $","19,696","$ 17,184",53% $,"12,719",65.0
Automotive leasing,nan,"1,509",nan,978,563,531,54%,415,74.0
Total automotive cost of revenues,nan,"51,108",nan,"33,393","20,259","17,715",53%,"13,134",65.0
Services and other,nan,"5,880",nan,"3,906","2,671","1,974",51%,"1,235",46.0
Total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment cost of revenues,nan,"56,988",nan,"37,299","22,930","19,689",53%,"14,369",63.0
Energy generation and storage segment,nan,"3,621",nan,"2,918","1,976",703,24%,942,48.0
Total cost of revenues,$,"60,609",$,"40,217 $","24,906","$ 20,392",51% $,"15,311",61.0
Gross profit total automotive,$,"20,354",$,"13,839 $","6,977",nan,nan,nan,nan
Gross margin total automotive,nan,28.5%,nan,29.3%,25.6%,nan,nan,nan,nan
Gross profit total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment,$,"20,565",$,"13,735 $","6,612",nan,nan,nan,nan
Gross margin total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment,nan,26.5%,nan,26.9%,22.4%,nan,nan,nan,nan
Gross profit energy generation and storage segment,$,288,$,(129 ) $,18,nan,nan,nan,nan
Gross margin energy generation and storage segment,nan,7.4%,nan,(4.6 )%,0.9%,nan,nan,nan,nan
Total gross profit,$,"20,853",$,"13,606 $","6,630",nan,nan,nan,nan
