Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
nan,2022,nan,nan,2021.0,nan,nan,2020,nan,nan,nan
Revenues,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive sales,$,"67,210",nan,nan,$,"44,125",nan,$,"24,604",nan
Automotive regulatory credits,nan,"1,776",nan,nan,nan,"1,465",nan,nan,"1,580",nan
Automotive leasing,nan,"2,476",nan,nan,nan,"1,642",nan,nan,"1,052",nan
Total automotive revenues,nan,"71,462",nan,nan,nan,"47,232",nan,nan,"27,236",nan
Energy generation and storage,nan,"3,909",nan,nan,nan,"2,789",nan,nan,"1,994",nan
Services and other,nan,"6,091",nan,nan,nan,"3,802",nan,nan,"2,306",nan
Total revenues,nan,"81,462",nan,nan,nan,"53,823",nan,nan,"31,536",nan
Cost of revenues,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive sales,nan,"49,599",nan,nan,nan,"32,415",nan,nan,"19,696",nan
Automotive leasing,nan,"1,509",nan,nan,nan,978,nan,nan,563,nan
Total automotive cost of revenues,nan,"51,108",nan,nan,nan,"33,393",nan,nan,"20,259",nan
Energy generation and storage,nan,"3,621",nan,nan,nan,"2,918",nan,nan,"1,976",nan
Services and other,nan,"5,880",nan,nan,nan,"3,906",nan,nan,"2,671",nan
Total cost of revenues,nan,"60,609",nan,nan,nan,"40,217",nan,nan,"24,906",nan
Gross profit,nan,"20,853",nan,nan,nan,"13,606",nan,nan,"6,630",nan
Operating expenses,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Research and development,nan,"3,075",nan,nan,nan,"2,593",nan,nan,"1,491",nan
"Selling, general and administrative",nan,"3,946",nan,nan,nan,"4,517",nan,nan,"3,145",nan
Restructuring and other,nan,176,nan,nan,nan,(27,),nan,—,nan
Total operating expenses,nan,"7,197",nan,nan,nan,"7,083",nan,nan,"4,636",nan
Income from operations,nan,"13,656",nan,nan,nan,"6,523",nan,nan,"1,994",nan
Interest income,nan,297,nan,nan,nan,56,nan,nan,30,nan
Interest expense,nan,(191,),nan,nan,(371,),nan,(748,)
"Other (expense) income, net",nan,(43,),nan,nan,135,nan,nan,(122,)
Income before income taxes,nan,"13,719",nan,nan,nan,"6,343",nan,nan,"1,154",nan
Provision for income taxes,nan,"1,132",nan,nan,nan,699,nan,nan,292,nan
Net income,nan,"12,587",nan,nan,nan,"5,644",nan,nan,862,nan
Net income attributable to noncontrolling interests and redeemable noncontrolling interests in subsidiaries,nan,31,nan,nan,nan,125,nan,nan,141,nan
Net income attributable to common stockholders,$,"12,556",nan,nan,$,"5,519",nan,$,721,nan
Net income per share of common stock attributable to common stockholders (1),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Basic,$,4.02,nan,nan,$,1.87,nan,$,0.25,nan
Diluted,$,3.62,nan,nan,$,1.63,nan,$,0.21,nan
Weighted average shares used in computing net income per share of common stock (1),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Basic,nan,"3,130",nan,nan,nan,"2,959",nan,nan,"2,798",nan
Diluted,nan,"3,475",nan,nan,nan,"3,386",nan,nan,"3,249",nan
