Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12,"Accumulated",Unnamed: 15,Unnamed: 16,"(Accumulated",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 33,Unnamed: 34,Unnamed: 35
nan,Redeemable,nan,nan,nan,nan,nan,nan,nan,Additio nal,Other,nan,nan,Deficit),nan,nan,Total,nan,Noncontrolli ng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,Noncontroll ing,nan,nan,Common Stock,nan,nan,Paid-In,nan,Comprehens ive,Retained,nan,nan,Stockholde rs’,nan,nan,Interests in,nan,Total,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,Interests,nan,nan,Shares (1),nan,nan,Amount (1),nan,Capital,(Loss) Income,nan,nan,Earnings (1),nan,nan,Equity,nan,Subsidiaries,nan,Equity,nan,nan,nan,nan,nan,nan,nan,nan
"Balance as of December 31, 2019",$,643,nan,nan,nan,"2,716",nan,$,3,$,"12,73 6",nan,nan,$,(36,),$,"(6,085",),$,"6,618",nan,$,849,nan,$,"7,46 7",nan
Adjustments for prior periods from adopting ASU 2016-13,nan,—,nan,nan,nan,—,nan,nan,—,nan,—,nan,nan,nan,—,nan,nan,(37,),nan,(37,),nan,—,nan,nan,(37,)
Reclassification between equity and mezzanine equity for convertible senior notes,nan,—,nan,nan,nan,—,nan,nan,—,nan,(51,),nan,nan,—,nan,nan,—,nan,nan,(51,),nan,—,nan,nan,(51,)
Exercises of conversion feature of convertible senior notes,nan,—,nan,nan,nan,5,nan,nan,0,nan,59,nan,nan,nan,—,nan,nan,—,nan,nan,59,nan,nan,—,nan,nan,59,nan
Issuance of common stock for equity incentive awards,nan,—,nan,nan,nan,55,nan,nan,0,nan,417,nan,nan,nan,—,nan,nan,—,nan,nan,417,nan,nan,—,nan,nan,417,nan
"Issuance of common stock in public offerings, net of issuance costs of $68",nan,—,nan,nan,nan,103,nan,nan,0,nan,"12,26 9",nan,nan,nan,—,nan,nan,—,nan,nan,"12,269",nan,nan,—,nan,nan,"12,2 69",nan
Stock-based compensation,nan,—,nan,nan,nan,—,nan,nan,—,nan,"1,861",nan,nan,nan,—,nan,nan,—,nan,nan,"1,861",nan,nan,—,nan,nan,"1,86 1",nan
