Unnamed: 0,Unnamed: 1,Unnamed: 2,Shares,Amount,Unnamed: 3,Unnamed: 4,(Loss),Earnings,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
nan,nan,Interests,(1),(1),Capital,nan,Income,(1),nan,Equity,Subsidiaries,Equity
nan,nan,nan,nan,nan,"12,73",nan,nan,nan,nan,nan,nan,"7,46"
"Balance as of December 31, 2019",$,643,"2,716",$ 3,$ 6,$,(36 ),"$ (6,085 )",$,"6,618",$ 849,$ 7
Adjustments for prior periods from adopting ASU 2016-13,nan,—,—,—,—,nan,—,(37 ),nan,(37 ),—,(37 )
Reclassification between equity and mezzanine equity for convertible senior,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
notes,nan,—,—,—,(51 ),nan,—,—,nan,(51 ),—,(51 )
Exercises of conversion feature of convertible senior notes,nan,—,5,0,59,nan,—,—,nan,59,—,59
Issuance of common stock for equity incentive awards,nan,—,55,0,417,nan,—,—,nan,417,—,417
nan,nan,nan,nan,nan,"12,26",nan,nan,nan,nan,nan,nan,"12,2"
"Issuance of common stock in public offerings, net of issuance costs of $68",nan,—,103,0,9,nan,—,—,nan,"12,269",—,69
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,86"
Stock-based compensation,nan,—,—,—,"1,861",nan,—,—,nan,"1,861",—,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17,17
Contributions from noncontrolling interests,nan,7,—,—,—,nan,—,—,nan,—,nan,nan
Distributions to noncontrolling interests,nan,(67 ),—,—,—,nan,—,—,nan,—,(132 ),(132 )
Buy-outs of noncontrolling interests,nan,(4 ),—,—,(31 ),nan,—,—,nan,(31 ),—,(31 )
Net income,nan,25,—,—,—,nan,—,721,nan,721,116,837
Other comprehensive income,nan,—,—,—,—,nan,399,—,nan,399,—,399
nan,nan,nan,nan,nan,"27,26",nan,nan,nan,nan,nan,nan,"23,0"
"Balance as of December 31, 2020",$,604,"2,879",$ 3,$ 0,$,363,"$ (5,401 )",$,"22,225",$ 850,$ 75
Adjustments for prior periods from adopting ASU 2020-06,nan,—,—,—,(474 ),nan,—,211,nan,(263 ),—,(263 )
Exercises of conversion feature of convertible senior notes,nan,—,2,0,6,nan,—,—,nan,6,—,6
Settlements of warrants,nan,—,112,0,—,nan,—,—,nan,—,—,—
Issuance of common stock for equity incentive awards,nan,—,107,0,707,nan,—,—,nan,707,—,707
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,29"
Stock-based compensation,nan,—,—,—,"2,299",nan,—,—,nan,"2,299",—,9
Contributions from noncontrolling interests,nan,2,—,—,—,nan,—,—,nan,—,—,—
Distributions to noncontrolling interests,nan,(66 ),—,—,—,nan,—,—,nan,—,(106 ),(106 )
Buy-outs of noncontrolling interests,nan,(15 ),—,—,5,nan,—,—,nan,5,—,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"5,60"
Net income,nan,43,—,—,—,nan,—,"5,519",nan,"5,519",82,1
Other comprehensive loss,nan,—,—,—,—,nan,(309 ),—,nan,(309 ),—,(309 )
nan,nan,nan,nan,nan,"29,80",nan,nan,nan,nan,nan,nan,"31,0"
"Balance as of December 31, 2021",$,568,"$ 3,100",$ 3,$ 3,$,54,$ 329,$,"30,189",$ 826,$ 15
Exercises of conversion feature of convertible senior notes,nan,—,0,0,0,nan,—,—,nan,—,—,—
Settlements of warrants,nan,—,37,0,0,nan,—,—,nan,—,—,—
Issuance of common stock for equity incentive awards,nan,—,27,0,541,nan,—,—,nan,541,—,541
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,80"
Stock-based compensation,nan,—,—,—,"1,806",nan,—,—,nan,"1,806",—,6
Distributions to noncontrolling interests,nan,(46 ),—,—,—,nan,—,—,nan,—,(113 ),(113 )
Buy-outs of noncontrolling interests,nan,(11 ),—,—,27,nan,—,—,nan,27,(61 ),(34 )
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"12,6"
Net (loss) income,nan,(102 ),—,—,—,nan,—,"12,556",nan,"12,556",133,89
Other comprehensive loss,nan,—,—,—,—,nan,(415 ),—,nan,(415 ),—,(415 )
nan,nan,nan,nan,nan,"32,17",nan,nan,nan,nan,nan,nan,"45,4"
"Balance as of December 31, 2022",$,409,"3,164",$ 3,$ 7,$,(361 ),"$ 12,885",$,"44,704",$ 785,$89
