Unnamed: 0,"Balances atDecember 31, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,"Balances atJanuary 1, 2021",Unnamed: 7,Unnamed: 8,Unnamed: 9
Assets,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Property, plant and equipment, net",$,"12,747",nan,$,(45,),$,"12,702",nan
Liabilities,nan,nan,nan,nan,nan,nan,nan,nan,nan
Current portion of debt and finance leases,nan,"2,132",nan,nan,50,nan,nan,"2,182",nan
"Debt and finance leases, net of current portion",nan,"9,556",nan,nan,219,nan,nan,"9,775",nan
Mezzanine equity,nan,nan,nan,nan,nan,nan,nan,nan,nan
Convertible senior notes,nan,51,nan,nan,(51,),nan,—,nan
Equity,nan,nan,nan,nan,nan,nan,nan,nan,nan
Additional paid-in capital,nan,"27,260",nan,nan,(474,),nan,"26,786",nan
Accumulated deficit,nan,"(5,399",),nan,211,nan,nan,"(5,188",)
