Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross,Unnamed: 3,Gross.1,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8
nan,nan,nan,Unrealized,nan,Unrealized,nan,nan,Cash and Cash,Short-Term
nan,Adjusted Cost,nan,Gains,nan,Losses,nan,Fair Value,Equivalents,Investments
Cash,"$ 13,965",$,—,$,—,$,"13,965","$ 13,965",$ —
Money market funds,"2,188",nan,—,nan,—,nan,"2,188","2,188",—
U.S. government securities,897,nan,—,nan,(3),nan,894,—,894
Corporate debt securities,907,nan,—,nan,(22),nan,885,—,885
Certificates of deposit and time deposits,"4,252",nan,1,nan,—,nan,"4,253",100,"4,153"
"Total cash, cash equivalents and short-",nan,nan,nan,nan,nan,nan,nan,nan,nan
term investments,"$ 22,209",$,1,$,(25),$,"22,185","$ 16,253","$ 5,932"
nan,nan,nan,nan,nan,"December 31, 2021",nan,nan,nan,nan
nan,nan,nan,Gross,nan,Gross,nan,nan,nan,nan
nan,nan,nan,Unrealized,nan,Unrealized,nan,nan,Cash and Cash,Short-Term
nan,Adjusted Cost,nan,Gains,nan,Losses,nan,Fair Value,Equivalents,Investments
Cash,"$ 8,028",$,—,$,—,$,"8,028","$ 8,028",$ —
Money market funds,"9,548",nan,—,nan,—,nan,"9,548","9,548",—
Corporate debt securities,132,nan,—,nan,(1),nan,131,—,131
"Total cash, cash equivalents and short-",nan,nan,nan,nan,nan,nan,nan,nan,nan
term investments,"$ 17,708",$,—,$,(1),$,"17,707","$ 17,576",$ 131
