Unnamed: 0,"December 31,",Unnamed: 2,Unnamed: 3,"December 31,.1",Unnamed: 4,Unnamed: 5,Unnamed: 6
nan,2022,nan,nan,2021.0,nan,nan,nan
"Machinery, equipment, vehicles and office furniture",$,"13,558",nan,nan,$,"9,953",nan
Tooling,nan,"2,579",nan,nan,nan,"2,188",nan
Leasehold improvements,nan,"2,366",nan,nan,nan,"1,826",nan
Land and buildings,nan,"7,751",nan,nan,nan,"4,675",nan
"Computer equipment, hardware and software",nan,"2,072",nan,nan,nan,"1,414",nan
Construction in progress,nan,"4,263",nan,nan,nan,"5,559",nan
nan,nan,"32,589",nan,nan,nan,"25,615",nan
Less: Accumulated depreciation,nan,"(9,041",),nan,nan,"(6,731",)
Total,$,"23,548",nan,nan,$,"18,884",nan
