Raw materials $,"6,137",$,"2,816"
Work in process,"2,385",nan,"1,089"
Finished goods (1),"3,475",nan,"1,277"
Service parts,842,nan,575
Total $,"12,839",$,"5,757"
"(1) Finished goods inventory includes vehicles in transit to fulfill customer orders, new vehicles available for sale, used vehicles and energy product",nan,nan,nan
available for sale.,nan,nan,nan
"For solar energy systems, we commence transferring component parts from inventory to construction in progress, a component of solar energy",nan,nan,nan
"systems, once a lease or PPA contract with a customer has been executed and installation has been initiated. Additional costs incurred on the leased",nan,nan,nan
"solar energy systems, including labor and overhead, are recorded within solar energy systems under construction.",nan,nan,nan
We write-down inventory for any excess or obsolete inventories or when we believe that the net realizable value of inventories is less than the,nan,nan,nan
"carrying value. During the years ended December 31, 2022, 2021 and 2020 we recorded write-downs of $144 million, $106 million and $145 million,",nan,nan,nan
"respectively, in Cost of revenues in the consolidated statements of operations.",nan,nan,nan
"Note 7 – Solar Energy Systems, Net",nan,nan,nan
"Our solar energy systems, net, consisted of the following (in millions):",nan,nan,nan
nan,"December 31,",nan,"December 31,"
nan,2022,nan,2021
Solar energy systems in service $,"6,785",$,"6,809"
Initial direct costs related to customer solar energy,nan,nan,nan
system lease acquisition costs,104,nan,104
nan,"6,889",nan,"6,913"
Less: accumulated depreciation and amortization (1),"(1,418 )",nan,"(1,187"
nan,"5,471",nan,"5,726"
Solar energy systems under construction,2,nan,18
Solar energy systems pending interconnection,16,nan,21
"Solar energy systems, net (2) $","5,489",$,"5,765"
"(1) Depreciation and amortization expense during the years ended December 31, 2022, 2021 and 2020 was $235 million, $236 million and $232",nan,nan,nan
"million, respectively.",nan,nan,nan
"(2) As of December 31, 2022 and 2021, there were $802 million and $1.02 billion, respectively, of gross solar energy systems under lease pass-",nan,nan,nan
"through fund arrangements with accumulated depreciation of $148 million and $165 million, respectively.",nan,nan,nan
"Note 8 – Property, Plant and Equipment, Net",nan,nan,nan
"Our property, plant and equipment, net, consisted of the following (in millions):",nan,nan,nan
nan,"December 31,",nan,"December 31,"
nan,2022,nan,2021
"Machinery, equipment, vehicles and office furniture $","13,558",$,"9,953"
Tooling,"2,579",nan,"2,188"
Leasehold improvements,"2,366",nan,"1,826"
Land and buildings,"7,751",nan,"4,675"
"Computer equipment, hardware and software","2,072",nan,"1,414"
Construction in progress,"4,263",nan,"5,559"
nan,"32,589",nan,"25,615"
Less: Accumulated depreciation,"(9,041 )",nan,"(6,731"
Total $,"23,548",$,"18,884"
