Unnamed: 0,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
nan,Net Carrying Value,nan,Principal,nan,Committed,Contractual,Contractual,nan,nan,nan,nan,nan,nan,nan
nan,Current,nan,Long-Term,nan,Balance,Amount (1),nan,Interest Rates,Maturity Date,nan,nan,nan,nan,nan
Recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2024 Notes,$,—,nan,$,37,$,37,nan,$,—,2.00,%,nan,May 2024
Credit Agreement,nan,—,nan,nan,—,nan,—,nan,nan,"2,266",Not applicable,nan,July 2023,nan
Solar Bonds,nan,—,nan,nan,7,nan,7,nan,nan,—,4.70-5.75,%,nan,March 2025 - January 2031
Total recourse debt,nan,—,nan,nan,44,nan,44,nan,nan,"2,266",nan,nan,nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,nan,984,nan,nan,613,nan,"1,603",nan,nan,—,0.36-4.64,%,nan,December 2023-September 2025
Solar Asset-backed Notes,nan,4,nan,nan,13,nan,17,nan,nan,—,4.80,%,nan,December 2026
Cash Equity Debt,nan,28,nan,nan,359,nan,397,nan,nan,—,5.25-5.81,%,nan,July 2033-January 2035
Automotive Lease-backed Credit Facilities,nan,—,nan,nan,—,nan,—,nan,nan,151,Not applicable,nan,September 2024,nan
Total non-recourse debt,nan,"1,016",nan,nan,985,nan,"2,017",nan,nan,151,nan,nan,nan,nan
Total debt,nan,"1,016",nan,nan,"1,029",$,"2,061",nan,$,"2,417",nan,nan,nan,nan
Finance leases,nan,486,nan,nan,568,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total debt and finance leases,$,"1,502",nan,$,"1,597",nan,nan,nan,nan,nan,nan,nan,nan,nan
