Total recourse debt,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
nan,—,44,nan,44,nan,"2,266",nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,984,613,nan,"1,603",nan,—,0.36-4.64%,December 2023-September 2025
Solar Asset-backed Notes,4,13,nan,17,nan,—,4.80%,December 2026
Cash Equity Debt,28,359,nan,397,nan,—,5.25-5.81%,July 2033-January 2035
Automotive Lease-backed Credit Facilities,nan,nan,nan,nan,nan,nan,nan,nan
nan,—,—,nan,—,nan,151,Not applicable,September 2024
Total non-recourse debt,"1,016",985,nan,"2,017",nan,151,nan,nan
Total debt,nan,nan,nan,nan,nan,nan,nan,nan
nan,"1,016","1,029",$,"2,061",$,"2,417",nan,nan
