Unnamed: 0,—,"1,250","1,250.1",920,3.25%,July 2023
Solar Bonds,0,7,7,—,4.00-5.75%,January 2022-January 2031
Total recourse debt,nan,nan,nan,nan,nan,nan
nan,30,"1,346","1,377",920,nan,nan
Non-recourse debt:,nan,nan,nan,nan,nan,nan
Automotive Asset-backed Notes,"1,007","1,706","2,723",—,0.12-5.48%,September 2022-September 2025
Solar Asset and Loan-backed Notes,27,800,844,—,2.87-7.74%,September 2024-September 2049
Cash Equity Debt,24,388,422,—,5.25-5.81%,July 2033-January 2035
Automotive Lease-backed Credit Facilities,nan,nan,nan,nan,nan,nan
nan,—,—,—,167,Not applicable,September 2023
Other Loans,nan,nan,nan,nan,nan,nan
nan,—,14,14,21,5.10%,February 2033
Total non-recourse debt,nan,nan,nan,nan,nan,nan
nan,"1,058","2,908","4,003",188,nan,nan
