Unnamed: 0,"December 31, 2022",Unnamed: 2,Unnamed: 4,Unnamed: 5
Operating leases:,nan,nan,nan,nan
Operating lease right-of-use assets,$,"2,563",$,"2,016"
Accrued liabilities and other,$,485,$,368
Other long-term liabilities,nan,"2,164",nan,"1,671"
Total operating lease liabilities,$,"2,649",$,"2,039"
Finance leases:,nan,nan,nan,nan
"Solar energy systems, net",$,25,$,27
"Property, plant and equipment, net",nan,"1,094",nan,"1,536"
Total finance lease assets,$,"1,119",$,"1,563"
Current portion of long-term debt and finance leases,$,486,$,501
"Long-term debt and finance leases, net of current portion",nan,568,nan,991
Total finance lease liabilities,$,"1,054",$,"1,492"
