Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
nan,2022,nan,nan,2021.0,nan,nan,2020,nan,nan
Current:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Federal,$,—,nan,nan,$,—,nan,$,—
State,nan,62,nan,nan,nan,9,nan,nan,4
Foreign,nan,"1,266",nan,nan,nan,839,nan,nan,248
Total current,nan,"1,328",nan,nan,nan,848,nan,nan,252
Deferred:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Federal,nan,26,nan,nan,nan,—,nan,nan,—
State,nan,1,nan,nan,nan,—,nan,nan,—
Foreign,nan,(223,),nan,nan,(149,),nan,40
Total deferred,nan,(196,),nan,nan,(149,),nan,40
Total provision for income taxes,$,"1,132",nan,nan,$,699,nan,$,292
