Unnamed: 0,"December 31,",Unnamed: 2,Unnamed: 3,"December 31,.1",Unnamed: 5,Unnamed: 6
nan,2022,nan,nan,2021.0,nan,nan
Deferred tax assets:,nan,nan,nan,nan,nan,nan
Net operating loss carry-forwards,$,"4,486",nan,nan,"7,607",nan
Research and development credits,nan,"1,184",nan,nan,923,nan
Other tax credits and attributes,nan,217,nan,nan,335,nan
Deferred revenue,nan,751,nan,nan,546,nan
Inventory and warranty reserves,nan,819,nan,nan,377,nan
Stock-based compensation,nan,185,nan,nan,115,nan
Operating lease right-of-use liabilities,nan,554,nan,nan,430,nan
Capitalized research and development costs,nan,693,nan,nan,—,nan
Deferred GILTI tax assets,nan,466,nan,nan,556,nan
Accruals and others,nan,178,nan,nan,191,nan
Total deferred tax assets,nan,"9,533",nan,nan,"11,080",nan
Valuation allowance,nan,"(7,349",),nan,"(9,074",)
"Deferred tax assets, net of valuation allowance",nan,"2,184",nan,nan,"2,006",nan
Deferred tax liabilities:,nan,nan,nan,nan,nan,nan
Depreciation and amortization,nan,"(1,178",),nan,"(1,279",)
Investment in certain financing funds,nan,(238,),nan,(209,)
Operating lease right-of-use assets,nan,(506,),nan,(391,)
Deferred revenue,nan,—,nan,nan,(49,)
Other,nan,(15,),nan,(13,)
Total deferred tax liabilities,nan,"(1,937",),nan,"(1,941",)
"Deferred tax assets (liabilities), net of valuation allowance",$,247,nan,nan,65,nan
