eferred tax assets:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Net operating loss carry-forwards,$,"4,486",$,"7,607"
Research and development credits,nan,"1,184",nan,923
Other tax credits and attributes,nan,217,nan,335
Deferred revenue,nan,751,nan,546
Inventory and warranty reserves,nan,819,nan,377
Stock-based compensation,nan,185,nan,115
Operating lease right-of-use liabilities,nan,554,nan,430
Capitalized research and development costs,nan,693,nan,—
Deferred GILTI tax assets,nan,466,nan,556
Accruals and others,nan,178,nan,191
