come before income taxes $,"13,719",$,"6,343",$.1,"1,154"
"The components of the provision for income taxes for the years ended December 31, 2022, 2021 and 2020 consisted of the following (in millions",nan,nan,nan,nan,nan
nan,nan,"Year Ended December 31,",nan,nan,nan
nan,2022,nan,2021,nan,2020
rrent:,nan,nan,nan,nan,nan
Federal $,—,$,—,$,—
State,62,nan,9,nan,4
Foreign,"1,266",nan,839,nan,248
Total current,"1,328",nan,848,nan,252
ferred:,nan,nan,nan,nan,nan
Federal,26,nan,—,nan,—
State,1,nan,—,nan,—
Foreign,(223 ),nan,(149 ),nan,40
Total deferred,(196 ),nan,(149 ),nan,40
tal provision for income taxes $,"1,132",$,699,$,292
