Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 11
nan,2022,nan,nan,2021.0,nan,nan,2020,nan,nan,nan
Tax at statutory federal rate,$,"2,881",nan,nan,$,"1,332",nan,$,242,nan
"State tax, net of federal benefit",nan,51,nan,nan,nan,6,nan,nan,4,nan
Nondeductible executive compensations,nan,14,nan,nan,nan,201,nan,nan,184,nan
Other nondeductible expenses,nan,89,nan,nan,nan,67,nan,nan,52,nan
Excess tax benefits related to stock based compensation,nan,(745,),nan,nan,"(7,123",),nan,(666,)
Foreign income rate differential,nan,(923,),nan,nan,(668,),nan,33,nan
U.S. tax credits,nan,(276,),nan,nan,(328,),nan,(181,)
Noncontrolling interests and redeemable noncontrolling interests adjustment,nan,42,nan,nan,nan,11,nan,nan,5,nan
GILTI inclusion,nan,"1,279",nan,nan,nan,"1,008",nan,nan,133,nan
Unrecognized tax benefits,nan,252,nan,nan,nan,28,nan,nan,1,nan
Change in valuation allowance,nan,"(1,532",),nan,nan,"6,165",nan,nan,485,nan
Provision for income taxes,$,"1,132",nan,nan,$,699,nan,$,292,nan
