Unnamed: 0,Unnamed: 1,2022,Unnamed: 3,2021,Unnamed: 5,Unnamed: 6
Tax at statutory federal rate,$,"2,881",$,"1,332",$,242
"State tax, net of federal benefit",nan,51,nan,6,nan,4
Nondeductible executive compensations,nan,14,nan,201,nan,184
Other nondeductible expenses,nan,89,nan,67,nan,52
Excess tax benefits related to stock based,nan,nan,nan,nan,nan,nan
compensation,nan,(745 ),nan,"(7,123 )",nan,(666
Foreign income rate differential,nan,(923 ),nan,(668 ),nan,33
U.S. tax credits,nan,(276 ),nan,(328 ),nan,(181
Noncontrolling interests and redeemable,nan,nan,nan,nan,nan,nan
noncontrolling interests adjustment,nan,42,nan,11,nan,5
GILTI inclusion,nan,"1,279",nan,"1,008",nan,133
Unrecognized tax benefits,nan,252,nan,28,nan,1
Change in valuation allowance,nan,"(1,532 )",nan,"6,165",nan,485
Provision for income taxes,$,"1,132",$,699,$,292
