Unnamed: 0,Unnamed: 2,Unnamed: 3,Unnamed: 4
"December 31, 2019",$,273,nan
Increases in balances related to prior year tax positions,nan,66,nan
Increases in balances related to current year tax positions,nan,41,nan
"December 31, 2020",nan,380,nan
Increases in balances related to prior year tax positions,nan,117,nan
Decreases in balances related to prior year tax positions,nan,(90,)
Increases in balances related to current year tax positions,nan,124,nan
"December 31, 2021",nan,531,nan
Increases in balances related to prior year tax positions,nan,136,nan
Decreases in balances related to prior year tax positions,nan,(12,)
Increases in balances related to current year tax positions,nan,222,nan
Decreases in balances related to expiration of the statute of limitations,nan,(7,)
"December 31, 2022",$,870,nan
