Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
nan,2022,nan,2021.0,nan,nan
Assets,nan,nan,nan,nan,nan
Current assets,nan,nan,nan,nan,nan
Cash and cash equivalents,$,68,nan,$,87
"Accounts receivable, net",nan,22,nan,nan,24
Prepaid expenses and other current assets,nan,274,nan,nan,152
Total current assets,nan,364,nan,nan,263
"Solar energy systems, net",nan,"4,060",nan,nan,"4,515"
Other non-current assets,nan,404,nan,nan,276
Total assets,$,"4,828",nan,$,"5,054"
Liabilities,nan,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan,nan
Accrued liabilities and other,$,69,nan,$,74
Deferred revenue,nan,10,nan,nan,11
Current portion of debt and finance leases,nan,"1,013",nan,nan,"1,031"
Total current liabilities,nan,"1,092",nan,nan,"1,116"
"Deferred revenue, net of current portion",nan,149,nan,nan,161
"Debt and finance leases, net of current portion",nan,971,nan,nan,"2,093"
Other long-term liabilities,nan,3,nan,nan,11
Total liabilities,$,"2,215",nan,$,"3,381"
