Unnamed: 0,Unnamed: 1,2022,Unnamed: 2,2021,Unnamed: 3,Unnamed: 5,2020,Unnamed: 6
Automotive segment,nan,nan,nan,nan,nan,nan,nan,nan
Revenues,$,"77,553",$,nan,"51,034",$,nan,"29,542"
Gross profit,$,"20,565",$,nan,"13,735",$,nan,"6,612"
Energy generation and storage segment,nan,nan,nan,nan,nan,nan,nan,nan
Revenues,$,"3,909",$,nan,"2,789",$,nan,"1,994"
Gross profit,$,288,$,nan,(129),$,nan,18
The following table presents revenues by geographic area based on the sales location of our products (in millions):,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,"Year Ended December 31,",nan,nan,nan,nan,nan
nan,nan,2022,nan,2021,nan,nan,2020,nan
United States,$,"40,553",$,nan,"23,973",$,nan,"15,207"
China,nan,"18,145",nan,nan,"13,844",nan,nan,"6,662"
Other,nan,"22,764",nan,nan,"16,006",nan,nan,"9,667"
Total,$,"81,462",$,nan,"53,823",$,nan,"31,536"
The following table presents long-lived assets by geographic area (in millions):,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,"December 31,",nan,nan,nan,nan,"December 31,",nan
nan,nan,nan,2022,nan,nan,nan,2021,nan
United States,nan,$,nan,"21,667",$,nan,nan,"19,026"
