Cost of revenues,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 22,Unnamed: 23
Automotive sales,$,"65,121",nan,$,"49,599",nan,$,"32,415",nan,$,"15,522",nan,31.0,%,nan,$,"17,184",53.0,%
Automotive leasing,"1,268",nan,"1,509",nan,nan,978,nan,(241),(16,%,nan,531,nan,54,%,nan,nan,nan,nan
Total automotive cost of revenues,"66,389",nan,"51,108",nan,nan,"33,393",nan,"15,281",30,%,nan,"17,715",nan,53,%,nan,nan,nan,nan
Services and other,"7,830",nan,"5,880",nan,nan,"3,906",nan,"1,950",33,%,nan,"1,974",nan,51,%,nan,nan,nan,nan
Total automotive & services and other segment cost of revenues,"74,219",nan,"56,988",nan,nan,"37,299",nan,"17,231",30,%,nan,"19,689",nan,53,%,nan,nan,nan,nan
Energy generation and storage segment,"4,894",nan,"3,621",nan,nan,"2,918",nan,"1,273",35,%,nan,703,nan,24,%,nan,nan,nan,nan
Total cost of revenues,$,"79,113",nan,$,"60,609",nan,$,"40,217",nan,$,"18,504",nan,31.0,%,nan,$,"20,392",51.0,%
Gross profit total automotive,$,"16,030",nan,$,"20,354",nan,$,"13,839",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gross margin total automotive,19.4,%,28.5,%,nan,29.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gross profit total automotive & services and other segment,$,"16,519",nan,$,"20,565",nan,$,"13,735",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gross margin total automotive & services and other segment,18.2,%,26.5,%,nan,26.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gross profit energy generation and storage segment,$,"1,141",nan,$,288,nan,$,(129),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gross margin energy generation and storage segment,18.9,%,7.4,%,nan,(4.6),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total gross profit,$,"17,660",nan,$,"20,853",nan,$,"13,606",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total gross margin,18.2,%,25.6,%,nan,25.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
