(Dollars in millions),Unnamed: 0,2023,Unnamed: 1,2022,Unnamed: 2,2021,Unnamed: 3,$,Unnamed: 4,$.1,Unnamed: 5
Cost of revenues,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Automotive sales,$,"65,121",$,"49,599",$,"32,415",$,"15,522",31 % $,"17,184",53 %
Automotive leasing,nan,"1,268",nan,"1,509",nan,978,nan,(241),(16)%,531,54 %
Total automotive cost of revenues,nan,"66,389",nan,"51,108",nan,"33,393",nan,"15,281",30 %,"17,715",53 %
Services and other,nan,"7,830",nan,"5,880",nan,"3,906",nan,"1,950",33 %,"1,974",51 %
Total automotive & services and other segment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cost of revenues,nan,"74,219",nan,"56,988",nan,"37,299",nan,"17,231",30 %,"19,689",53 %
Energy generation and storage segment,nan,"4,894",nan,"3,621",nan,"2,918",nan,"1,273",35 %,703,24 %
Total cost of revenues,$,"79,113",$,"60,609",$,"40,217",$,"18,504",31 % $,"20,392",51 %
Gross profit total automotive,$,"16,030",$,"20,354",$,"13,839",nan,nan,nan,nan,nan
Gross margin total automotive,nan,19.4 %,nan,28.5 %,nan,29.3 %,nan,nan,nan,nan,nan
Gross profit total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment,$,"16,519",$,"20,565",$,"13,735",nan,nan,nan,nan,nan
Gross margin total automotive & services and other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
segment,nan,18.2 %,nan,26.5 %,nan,26.9 %,nan,nan,nan,nan,nan
Gross profit energy generation and storage segment,$,"1,141",$,288,$,(129),nan,nan,nan,nan,nan
Gross margin energy generation and storage segment,nan,18.9 %,nan,7.4 %,nan,(4.6)%,nan,nan,nan,nan,nan
Total gross profit,$,"17,660",$,"20,853",$,"13,606",nan,nan,nan,nan,nan
Total gross margin,nan,18.2 %,nan,25.6 %,nan,25.3 %,nan,nan,nan,nan,nan
